"","Member","Value","Direction","Domain","Phylum","Class","Order","Family","Genus","Species"
"82","20120700_S1S_11",-0.454283655564976,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__RAAP-2","s__RAAP-2 sp003163875"
"83","20160700_E21_3",-0.518986464611665,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__RAAP-2","s__RAAP-2 sp003133005"
"84","20140700_S11_5",-11.7633612323143,"Sig. Low","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__RAAP-2","s__RAAP-2 sp003133125"
"85","20170700_E11_3",-0.755851800873504,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__RAAP-2","s__"
"86","20120600_S1S_4",-11.7470734825931,"Sig. Low","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__RAAP-2","s__RAAP-2 sp003160115"
"87","20170700_S34_13",-0.560662500136752,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__RAAP-2","s__"
"88","20120600_S2D_17",-0.440789337238013,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__RAAP-2","s__RAAP-2 sp003141095"
"89","20170700_S34_2",0.582327282356639,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__UBA8190","g__Bog-564","s__Bog-564 sp003139255"
"90","20140700_S11_7",0.612985205422656,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Bog-1527","s__Bog-1527 sp003155175"
"91","20111000_S3S_8",-0.11046455668033,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__BOG-1502","s__"
"92","20120600_S2M_11",-0.116375114191323,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__BOG-1502","s__"
"93","20110800_S1S_8",-0.239073953875958,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__BOG-1502","s__BOG-1502 sp003134035"
"94","PLTN01",-0.659022695691113,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Bog-1524","s__Bog-1524 sp003164495"
"95","20120700_S1D_69",-0.643664817918856,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Bog-1524","s__"
"96","20140700_S21_17",-0.703667249931719,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Bog-1524","s__Bog-1524 sp003164045"
"97","20120500_P34_3",-0.0191750522537886,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Palsa-1478","s__Palsa-1478 sp003168375"
"98","20120700_S1S_1",0.235486139255231,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Bog-1492","s__"
"99","20110800_S3S_12",0.244409337607517,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Bog-1492","s__Bog-1492 sp003136655"
"100","20111000_S3S_7",0.165603543750457,"Insignificant","d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","g__Palsa-1515","s__"
"101","20120700_S1D_28",2.3023132890709,"Sig. High","d__Bacteria","p__Armatimonadota","c__SYMT01","o__","f__","g__","s__"
"102","3300037149_6",1.77749558553236,"High","d__Bacteria","p__Armatimonadota","c__BOG-944","o__Capsulimonadales","f__BOG-944","g__BOG-944","s__"
"103","20111000_S2S_6",2.18566208194754,"Sig. High","d__Bacteria","p__Armatimonadota","c__BOG-944","o__Capsulimonadales","f__BOG-944","g__BOG-944","s__BOG-944 sp003134215"
"104","3300037196_14",2.41225321358279,"Sig. High","d__Bacteria","p__Firmicutes_B","c__Syntrophomonadia","o__Thermacetogeniales","f__Palsa-1188","g__","s__"
"105","3300037175_6",2.38771652019223,"Sig. High","d__Bacteria","p__Firmicutes_B","c__Syntrophomonadia","o__Thermacetogeniales","f__Palsa-1188","g__Palsa-1188","s__Palsa-1188 sp003160265"
"106","20110800_S3S_4",2.67529243604984,"Sig. High","d__Bacteria","p__FCPU426","c__Palsa-1180","o__Palsa-1180","f__Palsa-1180","g__Bog-1183","s__Bog-1183 sp003136635"
"107","20170700_S25_23",2.27657560792553,"Sig. High","d__Bacteria","p__FCPU426","c__Palsa-1180","o__","f__","g__","s__"
"108","20140700_S36_11",2.66392617896927,"Sig. High","d__Bacteria","p__Goldbacteria","c__PGYV01","o__PGYV01","f__Palsa-1178","g__Bog-1181","s__Bog-1181 sp003159495"
"109","20120700_S1D_103",2.34873287901364,"Sig. High","d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__UBA11386","g__","s__"
"110","20120700_S1D_24",3.293068961592,"Sig. High","d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__UBA11386","g__","s__"
"111","20120700_S1D_26",1.9911363840526,"High","d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__","g__","s__"
"112","20120700_S1D_39",2.35958334761745,"Sig. High","d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__","g__","s__"
"113","20120700_S1D_30",3.08385108893187,"Sig. High","d__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__SM23-33","f__SM23-33","g__","s__"
"114","20120700_S1D_73",2.93962810622918,"Sig. High","d__Bacteria","p__Planctomycetota","c__Brocadiae","o__","f__","g__","s__"
"115","PLSG01",3.38521782244664,"Sig. High","d__Bacteria","p__Verrucomicrobiota_A","c__Chlamydiia","o__Parachlamydiales","f__Parachlamydiaceae","g__BOG-1457","s__BOG-1457 sp003164155"
"116","20160700_E23_26",2.76790391656885,"Sig. High","d__Bacteria","p__Verrucomicrobiota","c__Kiritimatiellae","o__RFP12","f__","g__","s__"
"117","3300037349_9",0.995956128579187,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Palsa-1447","s__"
"118","3300037180_6",0.370698461805129,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Palsa-1447","s__Palsa-1447 sp003168315"
"119","PLTZ01",0.814206886735624,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Palsa-1447","s__Palsa-1447 sp003164715"
"120","PLXS01",0.66375145279951,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Palsa-1447","s__Palsa-1447 sp003151515"
"121","20150700_S25_3",-0.432246017905982,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"122","20120700_S1D_98",-0.212965985457746,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"123","20120700_S1D_89",-0.367380093623222,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"124","20170700_S24_4",-0.306371899303813,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"125","20110800_S1S_18",-0.483328807978763,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"126","20120700_S1D_29",-0.50727862922223,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"127","20110800_S3D_14",-0.561580491680832,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"128","20170700_S24_8",-0.576365006923462,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__","s__"
"129","PLGF01",-0.33792806185467,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__Palsa-1400","s__Palsa-1400 sp003138485"
"130","20170700_S25_32",-0.273940655987196,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Palsa-1400","g__Palsa-1400","s__"
"131","20110700_S2D_14",-0.140943533571433,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__","s__"
"132","20170700_S34_41",-0.189233487755225,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__","s__"
"133","20120800_E1D_21",-0.139847961524565,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__PALSA-1440","s__"
"134","20170700_S34_36",-0.30479002183078,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__PALSA-1440","s__"
"135","20120700_S1D_61",-0.0226225917680181,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__PALSA-1440","s__"
"136","20120700_S2X_13",-0.143368656871313,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__BOG-1460","s__BOG-1460 sp003159675"
"137","20160700_S11_6",-0.360317860375557,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__UBA11358","s__"
"138","3300036929_5",-0.648602912774909,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__UBA11358","s__"
"139","20110600_S1D_11",-0.49565518039342,"Insignificant","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__UBA11358","s__UBA11358 sp003134375"
