,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
675.1998749,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,NA,4.78763117703956,4.78763117703956,4.78763117703956,NA,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,NA,4.78763117703956,NA,NA,4.78763117703956,4.78763117703956,NA,NA,NA,NA
689.2155115,3.22744789689772,NA,NA,3.22744789689772,3.22744789689772,3.22744789689772,3.22744789689772,3.22744789689772,NA,3.22744789689772,NA,NA,3.22744789689772,3.22744789689772,3.22744789689772,3.22744789689772,3.22744789689772,3.22744789689772,NA,NA,NA,3.22744789689772,NA,NA,NA,NA,NA
705.2104365,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,NA,4.47730475469434,4.47730475469434,4.47730475469434,NA,4.47730475469434,4.47730475469434,NA,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,NA,NA,NA,4.47730475469434,4.47730475469434,NA,NA,NA,NA
663.2361662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25187452115477,NA,NA,NA,NA,NA
683.2260042,4.82495126248061,NA,NA,4.82495126248061,NA,4.82495126248061,NA,4.82495126248061,NA,NA,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,NA,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,NA,4.82495126248061,NA,4.82495126248061
699.2209271,1.88021331473835,NA,NA,NA,NA,NA,NA,1.88021331473835,NA,NA,1.88021331473835,1.88021331473835,NA,1.88021331473835,NA,NA,NA,1.88021331473835,NA,1.88021331473835,1.88021331473835,1.88021331473835,NA,NA,NA,NA,1.88021331473835
709.2052689,2.19997940274503,2.19997940274503,2.19997940274503,2.19997940274503,2.19997940274503,2.19997940274503,2.19997940274503,NA,NA,2.19997940274503,2.19997940274503,NA,NA,2.19997940274503,NA,2.19997940274503,2.19997940274503,NA,NA,NA,NA,2.19997940274503,NA,NA,NA,NA,NA
691.1947105,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,NA,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,3.07964542846848,NA,3.07964542846848,NA,NA,3.07964542846848,NA,NA,NA,NA,NA
693.2103594,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,NA,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,NA,7.34588719026042,NA,NA
669.210196,1.51888116980267,1.51888116980267,NA,1.51888116980267,NA,NA,NA,NA,NA,1.51888116980267,NA,NA,NA,1.51888116980267,NA,NA,NA,1.51888116980267,NA,NA,NA,NA,NA,NA,NA,NA,NA
