num.trans.involved.in,sample,peak
142,Abisko,233.0661329
64,Abisko,233.0773611
82,Abisko,233.0813797
35,Abisko,233.083272
59,Abisko,233.0926235
134,Abisko,233.1025241
93,Abisko,233.1177692
34,Abisko,233.121864
104,Abisko,233.1389133
74,Abisko,233.1541563
11,Abisko,233.175353
1,Abisko,233.923744
3,Abisko,233.9911775
3,Abisko,233.999449
2,Abisko,234.0122273
40,Abisko,234.0164406
29,Abisko,234.033136
117,Abisko,234.040263
4,Abisko,234.0421895
6,Abisko,234.0435825
48,Abisko,234.0483639
119,Abisko,234.0613847
3,Abisko,234.063833
11,Abisko,234.0661527
62,Abisko,234.0694945
124,Abisko,234.0766515
36,Abisko,234.0785093
18,Abisko,234.0806918
98,Abisko,234.0977651
60,Abisko,234.1058922
31,Abisko,234.1130066
9,Abisko,234.1574882
3,Abisko,234.9131499
2,Abisko,234.953385
12,Abisko,234.9766788
2,Abisko,234.982973
9,Abisko,234.9834843
76,Abisko,234.987886
12,Abisko,235.003439
133,Abisko,235.0242711
109,Abisko,235.0453996
1,Abisko,235.051759
157,Abisko,235.0606551
47,Abisko,235.062528
76,Abisko,235.071907
20,Abisko,235.0752573
24,Abisko,235.0800013
119,Abisko,235.081783
127,Abisko,235.0970365
30,Abisko,235.098911
8,Abisko,235.1003795
90,Abisko,235.1082857
35,Abisko,235.1181523
46,Abisko,235.1334117
64,Abisko,235.1698034
1,Abisko,235.9868463
49,Abisko,236.0195457
43,Abisko,236.0276508
50,Abisko,236.0487598
81,Abisko,236.0558978
25,Abisko,236.057772
61,Abisko,236.0640251
19,Abisko,236.0659143
89,Abisko,236.0770294
59,Abisko,236.0922791
35,Abisko,236.094162
39,Abisko,236.1048612
10,Abisko,236.1116148
22,Abisko,236.1731839
2,Abisko,236.929999
6,Abisko,236.9991273
74,Abisko,237.0035268
124,Abisko,237.0399136
5,Abisko,237.057007
59,Abisko,237.0610402
5,Abisko,237.0614432
3,Abisko,237.0623555
136,Abisko,237.0762995
11,Abisko,237.0782412
32,Abisko,237.0796805
31,Abisko,237.0803866
122,Abisko,237.087548
11,Abisko,237.1082304
139,Abisko,237.1126905
23,Abisko,237.1160541
114,Abisko,237.1490768
25,Abisko,238.006878
124,Abisko,238.0351783
61,Abisko,238.0432737
27,Abisko,238.056288
48,Abisko,238.0644149
149,Abisko,238.0715706
74,Abisko,238.0796657
3,Abisko,238.082727
9,Abisko,238.092651
4,Abisko,238.1023218
125,Abisko,238.1079511
79,Abisko,238.1160443
59,Abisko,238.152427
1,Abisko,238.878282
2,Abisko,238.9003372
1,Abisko,238.945673
2,Abisko,238.9837521
3,Abisko,238.9932828
9,Abisko,239.0147798
128,Abisko,239.0191877
2,Abisko,239.0223923
44,Abisko,239.0344318
61,Abisko,239.0403128
152,Abisko,239.0555684
2,Abisko,239.0590716
9,Abisko,239.0653224
115,Abisko,239.0668115
56,Abisko,239.0708188
11,Abisko,239.0726897
89,Abisko,239.0767005
104,Abisko,239.0919449
20,Abisko,239.095342
126,Abisko,239.1031947
7,Abisko,239.1048347
4,Abisko,239.110128
75,Abisko,239.1283296
4,Abisko,239.1395318
43,Abisko,239.164712
49,Abisko,239.2011037
56,Abisko,240.0225461
139,Abisko,240.0508355
74,Abisko,240.0589269
3,Abisko,240.063839
9,Abisko,240.070119
176,Abisko,240.0872128
34,Abisko,240.0952928
12,Abisko,240.0997611
10,Abisko,240.123557
74,Abisko,240.1316903
15,Abisko,240.2089298
85,Abisko,240.9984502
1,Abisko,240.9993911
23,Abisko,241.0018236
26,Abisko,241.0113402
15,Abisko,241.017065
139,Abisko,241.0348342
80,Abisko,241.0460675
97,Abisko,241.0501014
8,Abisko,241.051988
12,Abisko,241.055934
179,Abisko,241.0712249
9,Abisko,241.071659
110,Abisko,241.0824521
73,Abisko,241.0864869
28,Abisko,241.0923328
161,Abisko,241.1076127
2,Abisko,241.108223
66,Abisko,241.1188325
116,Abisko,241.1439992
67,Abisko,241.1552342
2,Abisko,241.159203
82,Abisko,241.1803804
41,Abisko,241.2167588
1,Abisko,241.573354
35,Abisko,241.993706
27,Abisko,242.0018445
23,Abisko,242.0215513
74,Abisko,242.0301092
71,Abisko,242.0381974
3,Abisko,242.0511605
47,Abisko,242.0579184
101,Abisko,242.0664626
88,Abisko,242.0745873
72,Abisko,242.0777122
37,Abisko,242.0817128
29,Abisko,242.085804
161,Abisko,242.1028585
77,Abisko,242.1109544
83,Abisko,242.1140939
48,Abisko,242.1222055
98,Abisko,242.1392529
61,Abisko,242.1473403
45,Abisko,242.1756335
14,Abisko,242.1837065
18,Abisko,242.2201204
1,Abisko,242.9333698
1,Abisko,242.955294
18,Abisko,242.9721696
49,Abisko,242.9777158
2,Abisko,242.981166
1,Abisko,242.990503
27,Abisko,242.9963475
111,Abisko,243.0141011
27,Abisko,243.0174704
2,Abisko,243.0260935
19,Abisko,243.0269937
108,Abisko,243.029367
33,Abisko,243.0327306
6,Abisko,243.038243
13,Abisko,243.0439719
146,Abisko,243.0504839
117,Abisko,243.0617219
131,Abisko,243.0657458
2,Abisko,243.0702609
167,Abisko,243.0868753
111,Abisko,243.098101
98,Abisko,243.1021279
8,Abisko,243.104023
1,Abisko,243.113315
140,Abisko,243.1232621
81,Abisko,243.134487
37,Abisko,243.1426028
107,Abisko,243.1596461
4,Abisko,243.170274
47,Abisko,243.1708774
28,Abisko,243.1789782
51,Abisko,243.1960198
8,Abisko,243.930659
3,Abisko,243.967037
6,Abisko,244.0208411
30,Abisko,244.0371768
125,Abisko,244.0457388
73,Abisko,244.0538434
23,Abisko,244.0609702
29,Abisko,244.062869
33,Abisko,244.0650824
25,Abisko,244.0690858
160,Abisko,244.0821298
60,Abisko,244.0902155
84,Abisko,244.093352
45,Abisko,244.1014779
145,Abisko,244.1185113
5,Abisko,244.1205476
85,Abisko,244.1266174
69,Abisko,244.1297415
56,Abisko,244.1629916
24,Abisko,244.174224
25,Abisko,244.199397
2,Abisko,244.9290448
2,Abisko,244.938474
9,Abisko,244.9514705
1,Abisko,244.966846
5,Abisko,244.9698
31,Abisko,244.9878172
6,Abisko,244.996717
13,Abisko,244.9973925
19,Abisko,245.0062455
87,Abisko,245.0086371
32,Abisko,245.0120021
2,Abisko,245.0132893
13,Abisko,245.024189
10,Abisko,245.0273592
116,Abisko,245.0297646
26,Abisko,245.0331392
17,Abisko,245.0426704
125,Abisko,245.0450044
5,Abisko,245.0469325
148,Abisko,245.066135
142,Abisko,245.0773746
109,Abisko,245.0813843
31,Abisko,245.085465
14,Abisko,245.08866
7,Abisko,245.092591
80,Abisko,245.1025094
7,Abisko,245.1101549
1,Abisko,245.113126
135,Abisko,245.1137645
101,Abisko,245.1177763
2,Abisko,245.127517
3,Abisko,245.1299655
31,Abisko,245.1331119
96,Abisko,245.1389035
80,Abisko,245.1501475
60,Abisko,245.1753046
14,Abisko,245.9830674
33,Abisko,246.0331367
78,Abisko,246.0402563
42,Abisko,246.0483779
35,Abisko,246.0528486
137,Abisko,246.0613871
11,Abisko,246.066155
83,Abisko,246.0694915
57,Abisko,246.0726341
116,Abisko,246.0766501
28,Abisko,246.07851
15,Abisko,246.080698
145,Abisko,246.097772
3,Abisko,246.099773
59,Abisko,246.1058667
73,Abisko,246.1089993
17,Abisko,246.114906
54,Abisko,246.1171236
53,Abisko,246.134144
69,Abisko,246.1422608
2,Abisko,246.9398092
2,Abisko,246.940878
24,Abisko,246.9670834
18,Abisko,246.9766933
15,Abisko,246.9854875
76,Abisko,246.9878859
29,Abisko,246.9912632
32,Abisko,247.0034875
8,Abisko,247.0065518
26,Abisko,247.0090645
21,Abisko,247.0123937
17,Abisko,247.0219147
103,Abisko,247.0242862
30,Abisko,247.0276708
16,Abisko,247.038885
16,Abisko,247.0398686
19,Abisko,247.042993
106,Abisko,247.0454189
97,Abisko,247.0566422
8,Abisko,247.0584546
168,Abisko,247.0606612
45,Abisko,247.062526
36,Abisko,247.064019
4,Abisko,247.0718605
4,Abisko,247.073821
160,Abisko,247.0817925
128,Abisko,247.0930286
127,Abisko,247.0970379
1,Abisko,247.117617
87,Abisko,247.1181638
85,Abisko,247.129422
99,Abisko,247.1334301
85,Abisko,247.154566
51,Abisko,247.1698014
44,Abisko,247.190954
1,Abisko,247.97039
8,Abisko,247.9749302
73,Abisko,248.019533
35,Abisko,248.0276549
3,Abisko,248.031048
32,Abisko,248.0321175
4,Abisko,248.0406028
17,Abisko,248.048811
14,Abisko,248.0532565
100,Abisko,248.0559254
32,Abisko,248.0577703
50,Abisko,248.064029
15,Abisko,248.06587
126,Abisko,248.0770478
2,Abisko,248.0794566
12,Abisko,248.0818106
8,Abisko,248.085098
46,Abisko,248.0882915
87,Abisko,248.0923103
34,Abisko,248.0941525
37,Abisko,248.096391
105,Abisko,248.1134371
51,Abisko,248.1215394
64,Abisko,248.1286905
21,Abisko,248.1368163
27,Abisko,248.9827512
15,Abisko,248.992335
11,Abisko,248.9991246
93,Abisko,249.0035478
1,Abisko,249.014197
84,Abisko,249.0246793
13,Abisko,249.0280562
22,Abisko,249.037551
123,Abisko,249.0399135
23,Abisko,249.0417817
22,Abisko,249.0545297
110,Abisko,249.0610488
30,Abisko,249.072328
158,Abisko,249.0763063
1,Abisko,249.077387
39,Abisko,249.0781741
3,Abisko,249.082847
81,Abisko,249.087542
16,Abisko,249.0894115
138,Abisko,249.0974427
4,Abisko,249.0978432
88,Abisko,249.1127086
43,Abisko,249.133847
98,Abisko,249.1490834
19,Abisko,249.1524581
3,Abisko,249.9664527
5,Abisko,249.998748
6,Abisko,250.0071003
15,Abisko,250.032523
91,Abisko,250.0351901
53,Abisko,250.0432767
12,Abisko,250.046442
1,Abisko,250.050667
91,Abisko,250.0563151
3,Abisko,250.057623
50,Abisko,250.0643973
147,Abisko,250.0715627
39,Abisko,250.0734319
59,Abisko,250.0796876
37,Abisko,250.081449
109,Abisko,250.0926867
107,Abisko,250.107938
47,Abisko,250.1160347
11,Abisko,250.1205415
77,Abisko,250.1443326
39,Abisko,250.152419
1,Abisko,250.909277
13,Abisko,250.9772472
69,Abisko,250.9828088
4,Abisko,250.983762
1,Abisko,250.994985
9,Abisko,250.9957145
8,Abisko,251.004525
128,Abisko,251.0191892
79,Abisko,251.0403267
89,Abisko,251.0555935
35,Abisko,251.057466
41,Abisko,251.0589625
105,Abisko,251.066812
8,Abisko,251.07022
10,Abisko,251.070801
3,Abisko,251.072691
21,Abisko,251.0749367
86,Abisko,251.0767218
180,Abisko,251.0919592
37,Abisko,251.0938281
22,Abisko,251.0953421
28,Abisko,251.0960574
108,Abisko,251.103204
130,Abisko,251.1283389
11,Abisko,251.1316953
76,Abisko,251.1647368
5,Abisko,251.98851
53,Abisko,252.0225632
5,Abisko,252.033035
34,Abisko,252.043668
138,Abisko,252.0508323
64,Abisko,252.0589273
79,Abisko,252.071965
47,Abisko,252.0800523
123,Abisko,252.0872247
27,Abisko,252.0891023
81,Abisko,252.0953178
2,Abisko,252.098331
2,Abisko,252.0997368
13,Abisko,252.1065292
41,Abisko,252.1317206
52,Abisko,252.168075
1,Abisko,252.9237395
2,Abisko,252.924914
1,Abisko,252.932688
50,Abisko,252.99848
121,Abisko,253.0348345
68,Abisko,253.0460897
68,Abisko,253.0501004
5,Abisko,253.0519165
79,Abisko,253.0559627
10,Abisko,253.0572963
21,Abisko,253.0688125
156,Abisko,253.071232
19,Abisko,253.0745815
143,Abisko,253.0824604
29,Abisko,253.0864978
76,Abisko,253.0923649
170,Abisko,253.1076114
114,Abisko,253.1188537
106,Abisko,253.1439857
68,Abisko,253.1803883
54,Abisko,253.2167614
6,Abisko,254.0017776
106,Abisko,254.030099
66,Abisko,254.0382042
2,Abisko,254.043153
25,Abisko,254.0593393
168,Abisko,254.0664809
10,Abisko,254.069832
59,Abisko,254.0745925
14,Abisko,254.077677
1,Abisko,254.0793997
77,Abisko,254.1028803
85,Abisko,254.1109673
33,Abisko,254.1154424
52,Abisko,254.1473615
18,Abisko,254.220123
4,Abisko,254.9405566
19,Abisko,254.9721819
1,Abisko,255.003516
4,Abisko,255.0077502
14,Abisko,255.011713
95,Abisko,255.0141189
24,Abisko,255.017495
87,Abisko,255.0293623
115,Abisko,255.0504796
85,Abisko,255.061741
89,Abisko,255.0657512
14,Abisko,255.067625
50,Abisko,255.0716074
153,Abisko,255.0868818
15,Abisko,255.09027
150,Abisko,255.0981082
10,Abisko,255.0997365
39,Abisko,255.1021493
24,Abisko,255.10798
135,Abisko,255.1232661
108,Abisko,255.1345028
5,Abisko,255.150716
113,Abisko,255.1596473
17,Abisko,255.1709195
53,Abisko,255.19604
12,Abisko,255.2323922
45,Abisko,256.0174725
9,Abisko,256.025286
36,Abisko,256.0371895
118,Abisko,256.0457535
2,Abisko,256.050772
54,Abisko,256.0538711
2,Abisko,256.0588032
25,Abisko,256.060974
11,Abisko,256.06504
31,Abisko,256.0749718
168,Abisko,256.0821322
89,Abisko,256.0902344
71,Abisko,256.0933761
4,Abisko,256.09512
13,Abisko,256.101521
153,Abisko,256.1185153
84,Abisko,256.1266124
75,Abisko,256.1297383
92,Abisko,256.154897
64,Abisko,256.1629983
1,Abisko,256.1993097
10,Abisko,256.2357846
15,Abisko,256.9514167
13,Abisko,256.9698448
69,Abisko,256.9933683
