Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
650.23087,0,0,0,0,0,0,0,0,,NA,651.2382,0,NA,NA,NA,NA,NA,NA,NA,NA,649.504816401665,0.495183598334734,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.0480465,26,20,20,0,0,0,0,0,CHO,NA,652.0553765,0.812618826,NA,C26H20O20,0,0.4375,17,-3,-3,38.3769230769231,650.321080435085,0.678919564914963,0.769230769230769,0.769230769230769,0.769230769230769,0,0,NA,Tannin,Cond Hydrocarbon,Other
651.061054,0,0,0,0,0,0,0,0,,NA,652.068384,0,NA,NA,NA,NA,NA,NA,NA,NA,650.334073410794,0.665926589205696,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.0996638,31,24,16,0,0,0,0,0,CHO,NA,652.1069938,0.775152603,NA,C31H24O16,0.266666666666667,0.521739130434783,20,4,4,52.9451612903226,650.372640098747,0.627359901253271,0.258064516129032,0.516129032258065,0.774193548387097,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
651.1209583,24,31,18,1,0,0,1,0,CHNOP,NA,652.1282883,0.551374517,NA,C24H31O18NP,0,0,10.5,-7.5,-9.5,56.7375,650.393910821118,0.606089178882257,0.125,0.75,1.29166666666667,0.0416666666666667,0.0416666666666667,1,Tannin,Tannin,Phytochemical
651.1362215,28,31,15,1,0,0,1,0,CHNOP,NA,652.1435515,0.562184868,NA,C28H31O15NP,0,0.27027027027027,14.5,-0.5,-2.5,63.3535714285714,650.409156978092,0.590843021907631,-0.107142857142857,0.535714285714286,1.10714285714286,0.0357142857142857,0.0357142857142857,1,Lignin,Lignin,Phytochemical
651.157295,29,32,17,0,0,0,0,0,CHO,NA,652.164625,0.953524034,NA,C29H32O17,0,0.268292682926829,14,-3,-3,58.3344827586207,650.430206947234,0.569793052766045,0.0689655172413794,0.586206896551724,1.10344827586207,0,0,NA,Lignin,Lignin,Other
651.1632768,0,0,0,0,0,0,0,0,,NA,652.1706068,0,NA,NA,NA,NA,NA,NA,NA,NA,650.436182067903,0.563817932097436,NA,NA,NA,NA,NA,NA,NA,NA,NA
651.1784783,22,39,19,1,0,0,1,0,CHNOP,NA,652.1858083,0.559091028,NA,C22H39O19NP,0,0,4.5,-14.5,-16.5,64.1863636363636,650.451366593772,0.548633406227964,-0.136363636363637,0.863636363636364,1.77272727272727,0.0454545454545455,0.0454545454545455,1,Carbohydrate,Carbohydrate,Other
651.1793325,0,0,0,0,0,0,0,0,,NA,652.1866625,0,NA,NA,NA,NA,NA,NA,NA,NA,650.452219839965,0.547780160035472,NA,NA,NA,NA,NA,NA,NA,NA,NA
