,RCBC,site1,site2
219,1,5,60
220,1,5,61
221,1,5,62
222,1,5,63
223,1,5,64
224,1,5,65
225,1,5,66
226,1,5,67
227,1,6,7
228,1,6,8
229,1,6,9
230,1,6,10
231,1,6,11
232,1,6,12
233,1,6,13
234,1,6,14
235,1,6,15
236,1,6,16
237,1,6,17
238,1,6,18
239,1,6,19
240,1,6,20
241,1,6,21
242,1,6,22
243,1,6,23
244,-1,6,24
245,-1,6,25
246,-1,6,26
247,-1,6,27
248,-1,6,28
249,-1,6,29
250,-1,6,30
251,-1,6,31
252,1,6,32
253,1,6,33
254,1,6,34
255,1,6,35
256,1,6,36
257,1,6,37
258,1,6,38
259,1,6,39
260,1,6,40
261,1,6,41
262,1,6,42
263,1,6,43
264,1,6,44
265,1,6,45
266,1,6,46
267,-0.98,6,47
268,-1,6,48
269,-1,6,49
270,-1,6,50
271,-1,6,51
272,-1,6,52
273,-1,6,53
274,1,6,54
275,1,6,55
276,1,6,56
277,1,6,57
278,1,6,58
279,0.71,6,59
280,1,6,60
281,1,6,61
282,1,6,62
283,1,6,63
284,1,6,64
285,1,6,65
286,1,6,66
287,1,6,67
288,-1,7,8
289,-1,7,9
290,-1,7,10
291,-1,7,11
292,-1,7,12
293,-1,7,13
294,-1,7,14
295,-1,7,15
296,1,7,16
297,1,7,17
298,1,7,18
299,1,7,19
300,1,7,20
301,1,7,21
302,1,7,22
303,1,7,23
304,1,7,24
305,1,7,25
306,1,7,26
307,1,7,27
308,1,7,28
309,1,7,29
310,1,7,30
311,1,7,31
312,-1,7,32
313,-1,7,33
314,-1,7,34
315,-1,7,35
316,-1,7,36
317,-1,7,37
318,-1,7,38
319,1,7,39
320,1,7,40
321,1,7,41
322,1,7,42
323,1,7,43
324,1,7,44
325,1,7,45
326,1,7,46
327,1,7,47
328,1,7,48
329,1,7,49
330,1,7,50
331,0.81,7,51
332,1,7,52
333,1,7,53
334,-1,7,54
335,-1,7,55
336,-1,7,56
337,-1,7,57
338,-1,7,58
339,-1,7,59
340,1,7,60
341,1,7,61
342,1,7,62
343,1,7,63
344,1,7,64
345,1,7,65
346,1,7,66
347,1,7,67
348,-1,8,9
349,-1,8,10
350,-1,8,11
351,-1,8,12
352,-1,8,13
353,-1,8,14
354,-1,8,15
355,1,8,16
356,1,8,17
357,1,8,18
358,1,8,19
359,1,8,20
360,1,8,21
361,1,8,22
362,1,8,23
363,1,8,24
364,1,8,25
365,0.97,8,26
366,1,8,27
367,1,8,28
368,1,8,29
369,1,8,30
370,1,8,31
371,-1,8,32
372,-1,8,33
373,-1,8,34
374,-1,8,35
375,-1,8,36
376,-1,8,37
377,-1,8,38
378,1,8,39
379,1,8,40
380,1,8,41
381,1,8,42
382,1,8,43
383,1,8,44
384,1,8,45
385,1,8,46
386,1,8,47
387,1,8,48
388,1,8,49
389,1,8,50
390,0.39,8,51
391,1,8,52
392,1,8,53
393,-1,8,54
394,-1,8,55
395,-1,8,56
396,-1,8,57
397,-1,8,58
398,-1,8,59
399,1,8,60
400,1,8,61
401,-0.6,8,62
402,1,8,63
403,1,8,64
404,1,8,65
405,1,8,66
406,1,8,67
407,-0.99,9,10
408,-1,9,11
409,-1,9,12
410,0.94,9,13
411,-1,9,14
412,-1,9,15
413,1,9,16
414,0.48,9,17
415,1,9,18
416,1,9,19
417,-0.42,9,20
418,1,9,21
419,1,9,22
420,0.93,9,23
421,1,9,24
422,1,9,25
423,-0.98,9,26
424,1,9,27
425,1,9,28
426,0.85,9,29
427,1,9,30
428,1,9,31
429,-1,9,32
430,-1,9,33
431,-1,9,34
432,-0.65,9,35
433,-1,9,36
434,-1,9,37
435,1,9,38
436,1,9,39
437,0.43,9,40
438,-0.97,9,41
439,1,9,42
440,1,9,43
441,1,9,44
442,1,9,45
443,1,9,46
444,1,9,47
445,1,9,48
446,1,9,49
447,1,9,50
448,0.23,9,51
449,0.57,9,52
450,1,9,53
451,-1,9,54
452,-1,9,55
453,-1,9,56
454,-1,9,57
455,-1,9,58
456,0.99,9,59
457,1,9,60
458,1,9,61
459,-1,9,62
460,0.89,9,63
461,-0.24,9,64
462,1,9,65
463,1,9,66
464,1,9,67
465,-1,10,11
466,-1,10,12
467,-1,10,13
468,-1,10,14
469,-1,10,15
470,1,10,16
471,1,10,17
472,1,10,18
473,1,10,19
474,1,10,20
475,1,10,21
476,1,10,22
477,1,10,23
478,1,10,24
479,1,10,25
480,0.99,10,26
481,1,10,27
