Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
669.210196,-0.024482237,Insignificant,669.210196,45,34,4,0,0,1,0,0,CHOS,NA,670.217526,-0.45824508,NA,C45H34O4S,0.6,0.619047619,29,25,24,75.5,668.4629499,0.537050083,-0.533333333,0.088888889,0.755555556,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
677.2154775,-13.42786347,Sig. Low,677.2154775,47,34,3,0,0,1,0,0,CHOS,NA,678.2228075,-0.163728141,NA,C47H34O3S,0.627906977,0.640449438,31,28,27,76.06595745,676.4592926,0.540707352,-0.553191489,0.063829787,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
681.2103842,-13.36746478,Sig. Low,681.2103842,46,34,4,0,0,1,0,0,CHOS,NA,682.2177142,-0.174267968,NA,C46H34O4S,0.609756098,0.627906977,30,26,25,75.16956522,680.4497386,0.550261401,-0.52173913,0.086956522,0.739130435,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
659.2048427,1.090753915,High,659.2048427,47,32,2,0,0,1,0,0,CHOS,NA,660.2121727,-0.274396981,NA,C47H32O2S,0.659090909,0.666666667,32,30,29,76.06595745,658.4687687,0.531231316,-0.553191489,0.042553191,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
673.2206247,1.016561185,High,673.2206247,48,34,2,0,0,1,0,0,CHOS,NA,674.2279547,-0.121553845,NA,C48H34O2S,0.644444444,0.652173913,32,30,29,76.925,672.4689005,0.531099464,-0.583333333,0.041666667,0.708333333,0,0,NA,Other,Cond Hydrocarbon,Other
693.24736,0.561860822,Insignificant,693.24736,48,38,3,0,0,1,0,0,CHOS,NA,694.25469,0.678958836,NA,C48H38O3S,0.590909091,0.604395604,30,27,26,78.1125,692.4732738,0.526726195,-0.625,0.0625,0.791666667,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
472.1022745,4.977550231,Sig. High,472.1022745,34,18,1,0,0,0,1,0,CHOP,NA,473.1096045,0.050289542,NA,C34H18OP,0.765625,0.769230769,26.5,25.5,24.5,77.90294118,471.5751209,0.424879117,-0.617647059,0.029411765,0.529411765,0,0.029411765,0,Other,Cond Hydrocarbon,Phytochemical
474.1178742,4.597571783,Sig. High,474.1178742,34,20,1,0,0,0,1,0,CHOP,NA,475.1252042,-0.056006293,NA,C34H20OP,0.734375,0.738461538,25.5,24.5,23.5,79.57941176,473.5884699,0.411530054,-0.676470588,0.029411765,0.588235294,0,0.029411765,0,Other,Cond Hydrocarbon,Phytochemical
556.1603128,2.783355043,Sig. High,556.1603128,39,26,2,0,0,0,1,0,CHOP,NA,557.1676428,0.9819784,NA,C39H26O2P,0.680555556,0.689189189,27.5,25.5,24.5,80.03076923,555.5392992,0.460700774,-0.692307692,0.051282051,0.666666667,0,0.025641026,0,Other,Cond Hydrocarbon,Phytochemical
618.160736,1.52412285,High,618.160736,40,28,5,0,0,0,1,0,CHOP,NA,619.168066,0.931001804,NA,C40H28O5P,0.632352941,0.657534247,27.5,22.5,21.5,76.6875,617.4704922,0.5295078,-0.575,0.125,0.7,0,0.025,0,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Phytochemical
590.1658177,7.868808012,Sig. High,590.1658177,39,28,4,0,0,0,1,0,CHOP,NA,591.1731477,0.968859165,NA,C39H28O4P,0.632352941,0.652777778,26.5,22.5,21.5,78.56923077,589.5068333,0.493166724,-0.641025641,0.102564103,0.717948718,0,0.025641026,0,Unsat Hydrocarbon,Cond Hydrocarbon,Phytochemical
571.310168,17.67277036,Sig. High,571.310168,29,51,6,1,0,1,1,0,CHNOSP,NA,572.317498,-0.045284307,NA,C29H51O6NSP,0,0,5.5,-0.5,-3.5,98.62758621,570.672238,0.327762037,-1.344827586,0.206896552,1.75862069,0.034482759,0.034482759,1,Lipid,Lipid,Lipid
601.320736,16.78243138,Sig. High,601.320736,34,50,7,0,0,1,0,0,CHOS,NA,602.328066,0.47897181,NA,C34H50O7S,0.076923077,0.186440678,10,3,2,88.8,600.6492959,0.350704106,-1,0.205882353,1.470588235,0,0,NA,Other,Lignin,Other
507.0184146,12.56384813,Sig. High,507.0184146,28,12,8,0,0,1,0,0,CHOS,NA,508.0257446,0.794573496,NA,C28H12O8S,0.736842105,0.782608696,23,15,14,54.19285714,506.4522733,0.547726691,0.214285714,0.285714286,0.428571429,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
521.0340003,11.66254556,Sig. High,521.0340003,29,14,8,0,0,1,0,0,CHOS,NA,522.0413303,0.649906886,NA,C29H14O8S,0.7,0.75,23,15,14,56.36896552,520.4522091,0.547790919,0.137931034,0.275862069,0.482758621,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
537.0290598,14.26290919,Sig. High,537.0290598,29,14,9,0,0,1,0,0,CHOS,NA,538.0363898,0.899924628,NA,C29H14O9S,0.684210526,0.744680851,23,14,13,54.40344828,536.4294084,0.570591646,0.206896552,0.310344828,0.482758621,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
565.0239505,9.057181486,Sig. High,565.0239505,30,14,10,0,0,1,0,0,CHOS,NA,566.0312805,0.813178412,NA,C30H14O10S,0.684210526,0.75,24,14,13,52.7,564.3930397,0.606960291,0.266666667,0.333333333,0.466666667,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
493.0179614,9.198988917,Sig. High,493.0179614,31,10,5,0,0,1,0,0,CHOS,NA,494.0252914,0.69712479,NA,C31H10O5S,0.84,0.854545455,27,22,21,58.46129032,492.4674531,0.53254686,0.064516129,0.161290323,0.322580645,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
703.51538,10.32011661,Sig. High,703.51538,42,72,8,0,0,0,0,0,CHO,NA,704.52271,-0.089178103,NA,C42H72O8,0,0.078947368,7,-1,-1,98.3,702.7298284,0.270171558,-1.333333333,0.19047619,1.714285714,0,0,NA,Lipid,Lipid,Other
481.4261243,11.27127988,Sig. High,481.4261243,30,58,4,0,0,0,0,0,CHO,NA,482.4334543,-0.227119714,NA,C30H58O4,0,0,2,-2,-2,107.8,480.8885596,0.111440411,-1.666666667,0.133333333,1.933333333,0,0,NA,Lipid,Lipid,Other
445.316925,6.582170536,Sig. High,445.316925,24,46,7,0,0,0,0,0,CHO,NA,446.324255,-0.341397458,NA,C24H46O7,0,0,2,-5,-5,98.3,444.8196801,0.180319857,-1.333333333,0.291666667,1.916666667,0,0,NA,Lipid,Lipid,Other
463.3274915,6.802404789,Sig. High,463.3274915,24,48,8,0,0,0,0,0,CHO,NA,464.3348215,-0.324203846,NA,C24H48O8,0,0,1,-7,-7,98.3,462.8101359,0.189864116,-1.333333333,0.333333333,2,0,0,NA,Protein,Protein,Other
763.178952,9.801404197,Sig. High,763.178952,27,40,25,0,0,0,0,0,CHO,NA,764.186282,0.473212102,NA,C27H40O25,0,0,8,-17,-17,49.74444444,762.3267796,0.673220436,0.37037037,0.925925926,1.481481481,0,0,NA,Carbohydrate,Tannin,Other
