Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
577.229918,2.213495061,Sig. High,577.229918,25,41,12,1,0,0,1,0,CHNOP,NA,578.237248,0.962704477,NA,C25H41O12NP,0,0,6.5,-5.5,-7.5,81.96,576.5853779,0.414622083,-0.76,0.48,1.64,0.04,0.04,1,Protein,Protein,Lipid
705.277272,2.423898764,Sig. High,705.277272,31,49,15,1,0,0,1,0,CHNOP,NA,706.284602,0.802154678,NA,C31H49O15NP,0,0,8.5,-6.5,-8.5,79.60645161,704.4897531,0.510246903,-0.677419355,0.483870968,1.580645161,0.032258065,0.032258065,1,Protein,Protein,Lipid
713.303491,2.682769347,Sig. High,713.303491,30,53,16,1,0,0,1,0,CHNOP,NA,714.310821,0.799091211,NA,C30H53O16NP,0,0,5.5,-10.5,-12.5,82.15,712.5070099,0.49299005,-0.766666667,0.533333333,1.766666667,0.033333333,0.033333333,1,Protein,Protein,Lipid
707.3293375,2.514397835,Sig. High,707.3293375,32,55,14,1,0,0,1,0,CHNOP,NA,708.3366675,0.842084809,NA,C32H55O14NP,0,0,6.5,-7.5,-9.5,86.128125,706.5395272,0.460472757,-0.90625,0.4375,1.71875,0.03125,0.03125,1,Protein,Protein,Lipid
667.370804,2.272803526,Sig. High,667.370804,31,59,12,1,0,0,1,0,CHNOP,NA,668.378134,0.885869154,NA,C31H59O12NP,0,0,3.5,-8.5,-10.5,94.31612903,666.6256118,0.374388202,-1.193548387,0.387096774,1.903225806,0.032258065,0.032258065,1,Protein,Protein,Lipid
685.3449915,2.06477462,Sig. High,685.3449915,30,57,14,1,0,0,1,0,CHNOP,NA,686.3523215,0.874792076,NA,C30H57O14NP,0,0,3.5,-10.5,-12.5,89.75,684.5797292,0.42027084,-1.033333333,0.466666667,1.9,0.033333333,0.033333333,1,Protein,Protein,Lipid
697.3449755,2.707606489,Sig. High,697.3449755,31,57,14,1,0,0,1,0,CHNOP,NA,698.3523055,0.836849151,NA,C31H57O14NP,0,0,4.5,-9.5,-11.5,88.8,696.5663139,0.433686129,-1,0.451612903,1.838709677,0.032258065,0.032258065,1,Protein,Protein,Lipid
699.360616,1.798126604,High,699.360616,31,59,14,1,0,0,1,0,CHNOP,NA,700.367946,0.820785016,NA,C31H59O14NP,0,0,3.5,-10.5,-12.5,90.63870968,698.5797037,0.420296312,-1.064516129,0.451612903,1.903225806,0.032258065,0.032258065,1,Protein,Protein,Lipid
683.3291287,1.741856109,High,683.3291287,30,55,14,1,0,0,1,0,CHNOP,NA,684.3364587,0.566455158,NA,C30H55O14NP,0,0,4.5,-9.5,-11.5,87.85,682.5661173,0.43388271,-0.966666667,0.466666667,1.833333333,0.033333333,0.033333333,1,Protein,Protein,Lipid
711.360698,2.689551496,Sig. High,711.360698,32,59,14,1,0,0,1,0,CHNOP,NA,712.368028,0.922067849,NA,C32H59O14NP,0,0,4.5,-9.5,-11.5,89.690625,710.5663863,0.43361371,-1.03125,0.4375,1.84375,0.03125,0.03125,1,Protein,Protein,Lipid
697.3086724,1.887676929,High,697.3086724,30,53,15,1,0,0,1,0,CHNOP,NA,698.3160024,0.954899624,NA,C30H53O15NP,0,0,5.5,-9.5,-11.5,84.05,696.5300513,0.469948693,-0.833333333,0.5,1.766666667,0.033333333,0.033333333,1,Protein,Protein,Lipid
699.324321,1.990750401,High,699.324321,30,55,15,1,0,0,1,0,CHNOP,NA,700.331651,0.950060849,NA,C30H55O15NP,0,0,4.5,-10.5,-12.5,85.95,698.5434492,0.456550784,-0.9,0.5,1.833333333,0.033333333,0.033333333,1,Protein,Protein,Lipid
