OTU,New_ID
20120600_E1D_52,micro1617
PMBG01,micro1616
20120600_E1D_51,micro1615
20130700_E3Z_10,micro1614
PKWP01,micro1613
PNAZ01,micro1612
20120700_P3D_10,micro1611
PLZO01,micro1610
Fen.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.38_73.55_6.79,micro1609
20120700_P3D_13,micro1608
20120500_P36_8,micro1607
20110800_P1D_16,micro1606
20111000_P3M_22,micro1605
3300037049_16,micro1604
3300038461_16,micro1603
20110600_P1M_11,micro1602
20111000_P3M_41,micro1601
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.157_84.48_2.02,micro1600
3300037207_8,micro1599
PMBQ01,micro1598
PLNS01,micro1597
3300037155_12,micro1596
3300038519_6,micro1595
3300037132_13,micro1594
20120600_E3D_36,micro1593
PMAZ01,micro1592
PLYI01,micro1591
20120700_S1D_12,micro1590
20170700_S35_8,micro1589
20120700_S1D_70,micro1588
20120500_P19_3,micro1587
20110800_E2D_12,micro1586
PMMV01,micro1585
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00,micro1584
20120700_P3D_99,micro1583
PMGM01,micro1582
20160700_E25_7,micro1581
PLTK01,micro1580
20100900_E3D_5,micro1579
20110700_S2D_21,micro1578
3300037136_8,micro1577
PMBU01,micro1576
20110800_E3D_10,micro1575
20110800_E2S_11,micro1574
20120800_E2X_5,micro1573
PMEE01,micro1572
PLGY01,micro1571
20110800_E3D_36,micro1570
20120800_E1X_9,micro1569
3300039216_15,micro1568
20120800_E1X_3,micro1567
20120700_E1X_4,micro1566
20110800_E1S_5,micro1565
3300037089_14,micro1564
20130700_E3Z_4,micro1563
20130700_C1D_1,micro1562
3300037365_14,micro1561
PMKW01,micro1560
20120700_E3M_5,micro1559
3300037062_11,micro1558
3300037104_21,micro1557
3300037104_19,micro1556
PMNG01,micro1555
20120600_E2D_39,micro1554
20140700_E14_1,micro1553
20120700_S1D_59,micro1552
20120800_E3X_18,micro1551
20111000_P3M_28,micro1550
PLYD01,micro1549
20120500_P36_7,micro1548
PLYZ01,micro1547
PNAG01,micro1546
20170700_S25_25,micro1545
3300037316_10,micro1544
20111000_P2D_6,micro1543
20120500_P24_7,micro1542
20120700_P2D_10,micro1541
20111000_P2D_14,micro1540
20140700_E22_12,micro1539
20150700_S23_3,micro1538
