,June_E_1_S_12_so_R1,June_E_1_D_12_so_R1,June_E_2_S_12_so_R2,June_E_2_S_12_so_R1,June_E_2_M_12_so_R2,June_E_2_M_12_so_R1,June_E_2_D_12_so_R1,June_E_3_S_12_so_R1,June_E_3_M_12_so_R1,June_E_3_D_12_so_R2,June_E_3_D_12_so_R1,July_E_1_S_12_so_R1,July_E_1_M_12_so_R2,July_E_1_D_12_so_R2,July_E_1_D_12_so_R1,July_E_2_S_12_so_R1,July_E_2_D_12_so_R1,July_E_3_S_12_so_R1,July_E_3_M_12_so_R1,July_E_3_D_12_so_R1,Aug_E_1_S_12_so_R1,Aug_E_1_M_12_so_R1,Aug_E_1_D_12_so_R1,Aug_E_2_S_12_so_R1,Aug_E_2_M_12_so_R1,Aug_E_2_D_12_so_R1,Aug_E_3_S_12_so_R1,Aug_E_3_M_12_so_R2,Aug_E_3_M_12_so_R1
777.268632,1.01291470752343,NA,1.01291470752343,1.01291470752343,1.01291470752343,1.01291470752343,1.01291470752343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01291470752343,NA
797.2585438,0.699506293088349,NA,NA,NA,NA,0.699506293088349,NA,NA,NA,0.699506293088349,0.699506293088349,0.699506293088349,NA,0.699506293088349,0.699506293088349,NA,NA,NA,NA,0.699506293088349,NA,NA,0.699506293088349,NA,NA,NA,NA,NA,0.699506293088349
809.258368,0.407862150149147,0.407862150149147,0.407862150149147,0.407862150149147,NA,0.407862150149147,0.407862150149147,NA,0.407862150149147,0.407862150149147,0.407862150149147,0.407862150149147,NA,0.407862150149147,0.407862150149147,0.407862150149147,NA,NA,0.407862150149147,0.407862150149147,NA,0.407862150149147,0.407862150149147,0.407862150149147,NA,0.407862150149147,NA,NA,NA
795.2428323,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,0.750793935926427,NA,0.750793935926427,0.750793935926427,0.750793935926427
813.2535427,0.420848950300653,NA,0.420848950300653,NA,NA,0.420848950300653,0.420848950300653,NA,NA,0.420848950300653,0.420848950300653,NA,NA,NA,0.420848950300653,NA,NA,NA,NA,NA,NA,NA,0.420848950300653,NA,NA,NA,NA,0.420848950300653,0.420848950300653
647.241775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43337017794702,NA,NA,NA
703.1949281,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,NA,NA,NA,NA,1.51340439213517,NA,1.51340439213517,1.51340439213517,NA,1.51340439213517,1.51340439213517,1.51340439213517,1.51340439213517,NA,NA,1.51340439213517,NA,1.51340439213517
755.247254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39519188824324,NA,NA,NA,NA,NA,NA
707.1897462,0.282350656663983,NA,0.282350656663983,0.282350656663983,NA,0.282350656663983,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282350656663983,NA,0.282350656663983,NA,NA,NA,NA,0.282350656663983,NA,NA,NA,0.282350656663983,NA,0.282350656663983
695.2261402,0.468514339806485,0.468514339806485,NA,0.468514339806485,0.468514339806485,0.468514339806485,0.468514339806485,NA,NA,NA,0.468514339806485,NA,NA,NA,0.468514339806485,0.468514339806485,NA,0.468514339806485,0.468514339806485,NA,NA,NA,0.468514339806485,NA,NA,NA,0.468514339806485,0.468514339806485,0.468514339806485
697.2054029,NA,NA,NA,NA,NA,0.199867233007204,NA,NA,NA,NA,0.199867233007204,NA,NA,NA,0.199867233007204,NA,NA,NA,NA,NA,NA,NA,0.199867233007204,NA,0.199867233007204,NA,NA,NA,NA
713.236651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.334761646169083,NA,NA,NA,NA,NA,NA,NA,NA,NA
675.1998749,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,NA,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,NA,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255,-0.433423650806255
689.2155115,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,-0.552412116578748,NA,NA,-0.552412116578748,-0.552412116578748,NA,NA,-0.552412116578748,NA,-0.552412116578748,-0.552412116578748,NA,NA,NA,NA,-0.552412116578748,-0.552412116578748,-0.552412116578748
705.2104365,-13.6810603970248,-13.3149196176704,-13.6138093924887,-13.5084211383848,-13.3739379039902,-13.7308626892319,-13.4391442813691,-13.636957806128,-13.7945911022839,-12.9293310115668,-12.9514415924885,-13.8513923425828,-12.9919245574006,-13.3683081704462,-13.849991662284,-13.3932483815628,-14.0253824356326,-13.1633579824845,-13.4146178934267,-13.0954302206218,-13.0122825900077,-13.0402792894883,-13.4692934773815,-13.8524012283156,-13.3551267706097,-13.574900687721,-13.3297115189799,-13.313680772742,-13.4497502942041
663.2361662,-0.0903479969876079,NA,NA,-0.0903479969876079,-0.0903479969876079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0903479969876079
683.2260042,-0.483928851350626,-0.483928851350626,NA,NA,NA,-0.483928851350626,NA,NA,NA,-0.483928851350626,-0.483928851350626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483928851350626,-0.483928851350626,-0.483928851350626,NA,NA,NA,NA
699.2209271,NA,-0.395618558653239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
