,June_P_1_S_12_so_R1,June_P_1_D_12_so_R2,June_P_1_D_12_so_R1,June_P_2_S_12_so_R1,June_P_2_M_12_so_R1,June_P_2_M_12_so_R2,June_P_2_D_12_so_R2,June_P_2_D_12_so_R1,June_P_3_D_12_so_R1,July_P_1_S_12_so_R1,July_P_1_M_12_so_R1,July_P_1_D_12_so_R1,July_P_2_S_12_so_R2,July_P_2_S_12_so_R1,July_P_2_M_12_so_R1,July_P_2_D_12_so_R1,July_P_3_S_12_so_R1,July_P_3_M_12_so_R2,July_P_3_M_12_so_R1,Aug_P_1_S_12_so_R1,Aug_P_1_M_12_so_R1,Aug_P_1_D_12_so_R1,Aug_P_2_S_12_so_R1,Aug_P_2_M_12_so_R1,Aug_P_2_D_12_so_R2,Aug_P_2_D_12_so_R1,Aug_P_3_S_12_so_R1,Aug_P_3_M_12_so_R2,Aug_P_3_M_12_so_R1
699.2209271,-0.516089862763771,-0.516089862763771,-0.516089862763771,-0.516089862763771,-0.516089862763771,-0.516089862763771,-0.516089862763771,-0.516089862763771,NA,-0.516089862763771,NA,NA,-0.516089862763771,-0.516089862763771,NA,NA,-0.516089862763771,-0.516089862763771,-0.516089862763771,-0.516089862763771,-0.516089862763771,NA,NA,NA,NA,NA,-0.516089862763771,NA,-0.516089862763771
709.2052689,NA,-0.43274660606888,-0.43274660606888,-0.43274660606888,-0.43274660606888,-0.43274660606888,-0.43274660606888,-0.43274660606888,-0.43274660606888,-0.43274660606888,-0.43274660606888,NA,-0.43274660606888,-0.43274660606888,NA,NA,-0.43274660606888,-0.43274660606888,-0.43274660606888,NA,-0.43274660606888,-0.43274660606888,NA,-0.43274660606888,-0.43274660606888,NA,-0.43274660606888,-0.43274660606888,-0.43274660606888
691.1947105,NA,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,NA,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,NA,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812,-0.544551744384812
693.2103594,NA,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264,-0.359560184368264
669.210196,NA,0.0127308173653946,NA,0.0127308173653946,0.0127308173653946,0.0127308173653946,0.0127308173653946,0.0127308173653946,0.0127308173653946,0.0127308173653946,NA,NA,0.0127308173653946,0.0127308173653946,NA,NA,0.0127308173653946,0.0127308173653946,0.0127308173653946,0.0127308173653946,0.0127308173653946,NA,NA,NA,NA,NA,0.0127308173653946,NA,0.0127308173653946
677.2154775,NA,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858,-0.430653398842858
681.2103842,-13.823620218158,-12.9648647211352,-13.2860531201762,-13.2504965789139,-13.1283848192287,-13.306653839787,-13.7840563409987,-13.2453629175327,-13.7956696224917,-13.3873843052347,-13.4209342878118,-13.3159817304775,-13.4092505765898,-13.1163738786804,-13.2699460780149,-13.2648445855398,-13.1507960978406,-13.480573561676,-13.9912027797233,-13.5099167553255,-13.7588684635726,-13.6184180846522,-13.2777806060629,-13.4250913406187,-13.5452858311756,-13.526602477719,-13.3630389994408,-13.3947701179774,-13.8788193473289
659.2048427,NA,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,NA,0.652758410435468,NA,NA,0.652758410435468,0.652758410435468,NA,NA,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,0.652758410435468,NA,0.652758410435468
691.2674476,NA,0.2734299570558,0.2734299570558,0.2734299570558,0.2734299570558,0.2734299570558,0.2734299570558,0.2734299570558,0.2734299570558,0.2734299570558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2734299570558,NA,NA,0.2734299570558,NA,NA,NA,NA,NA
673.2206247,NA,NA,1.173251161136,1.173251161136,1.173251161136,NA,NA,NA,NA,1.173251161136,NA,NA,1.173251161136,1.173251161136,NA,NA,1.173251161136,NA,NA,1.173251161136,NA,NA,1.173251161136,NA,NA,NA,NA,NA,NA
697.241758,NA,NA,NA,NA,NA,0.52891150030237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709.241911,NA,NA,NA,NA,NA,NA,NA,0.882766319698523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679.231485,NA,NA,NA,0.697979569992882,NA,0.697979569992882,NA,0.697979569992882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492.201356,3.43576324250673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524.1913033,5.31940762992092,NA,NA,NA,5.31940762992092,5.31940762992092,5.31940762992092,NA,NA,5.31940762992092,NA,NA,NA,5.31940762992092,NA,NA,NA,NA,NA,5.31940762992092,NA,NA,NA,NA,NA,NA,NA,NA,NA
516.092319,NA,NA,NA,NA,2.97793234878587,NA,NA,NA,NA,2.97793234878587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472.1022745,NA,NA,NA,4.2866016295915,NA,NA,NA,NA,NA,4.2866016295915,NA,NA,NA,NA,NA,NA,NA,NA,4.2866016295915,NA,4.2866016295915,4.2866016295915,NA,4.2866016295915,4.2866016295915,4.2866016295915,NA,NA,NA
474.1178742,NA,NA,NA,NA,3.92543225403796,NA,NA,NA,3.92543225403796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596.228039,2.31189011427048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31189011427048,NA,NA,NA,NA,NA,NA,NA,NA,NA
650.223387,NA,NA,NA,NA,2.95045733702592,2.95045733702592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610.1920659,NA,NA,1.63682065688147,1.63682065688147,1.63682065688147,1.63682065688147,NA,NA,1.63682065688147,1.63682065688147,NA,NA,1.63682065688147,1.63682065688147,NA,NA,1.63682065688147,1.63682065688147,1.63682065688147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600.186554,0.456955341846048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
590.1658177,NA,2.77676376284978,2.77676376284978,2.77676376284978,2.77676376284978,2.77676376284978,2.77676376284978,2.77676376284978,2.77676376284978,2.77676376284978,2.77676376284978,NA,NA,NA,2.77676376284978,NA,2.77676376284978,2.77676376284978,2.77676376284978,NA,2.77676376284978,2.77676376284978,NA,2.77676376284978,2.77676376284978,NA,2.77676376284978,2.77676376284978,2.77676376284978
608.1763807,NA,NA,1.97831221786793,1.97831221786793,1.97831221786793,1.97831221786793,1.97831221786793,1.97831221786793,NA,1.97831221786793,1.97831221786793,NA,NA,1.97831221786793,NA,NA,NA,1.97831221786793,1.97831221786793,NA,NA,1.97831221786793,1.97831221786793,NA,1.97831221786793,1.97831221786793,1.97831221786793,1.97831221786793,1.97831221786793
685.242063,6.98841205895899,NA,NA,NA,6.98841205895899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
598.2102419,NA,6.16320603417968,NA,NA,NA,NA,NA,NA,6.16320603417968,6.16320603417968,NA,NA,NA,NA,NA,NA,6.16320603417968,NA,NA,NA,NA,NA,NA,6.16320603417968,NA,NA,NA,NA,NA
596.2308305,NA,6.1390255211523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
599.299466,NA,NA,NA,14.2732710504216,NA,NA,NA,NA,NA,NA,NA,NA,14.2732710504216,NA,NA,NA,NA,NA,NA,14.2732710504216,NA,NA,NA,NA,NA,NA,NA,NA,NA
629.310044,NA,NA,NA,15.1798894501203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1798894501203,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.05136,12.4374751929542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609.0502103,NA,NA,NA,NA,NA,NA,11.9960348506274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9960348506274,11.9960348506274,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9960348506274
433.0908976,NA,NA,NA,NA,NA,NA,9.40774199032356,NA,NA,9.40774199032356,NA,NA,NA,9.40774199032356,NA,NA,NA,NA,9.40774199032356,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.40774199032356
447.0701628,NA,NA,NA,9.84317771500833,9.84317771500833,NA,9.84317771500833,9.84317771500833,NA,9.84317771500833,NA,NA,NA,9.84317771500833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507.0184146,12.5784462976667,12.5784462976667,12.5784462976667,NA,12.5784462976667,NA,12.5784462976667,12.5784462976667,12.5784462976667,NA,12.5784462976667,12.5784462976667,12.5784462976667,12.5784462976667,12.5784462976667,12.5784462976667,12.5784462976667,12.5784462976667,12.5784462976667,NA,12.5784462976667,12.5784462976667,12.5784462976667,NA,12.5784462976667,12.5784462976667,NA,12.5784462976667,12.5784462976667
521.0340003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20082817502041,NA,NA,NA,NA,NA,NA,NA,NA
537.0290598,NA,4.0994454521425,NA,NA,4.0994454521425,NA,4.0994454521425,4.0994454521425,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0994454521425,4.0994454521425,NA,4.0994454521425,NA,NA,NA,NA,NA,NA,NA,NA
565.0239505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8869430652306,NA,NA,NA,NA,NA,NA,NA
