,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
20170700_S33_22,NA,NA,NA,-0.0309791856127521,-0.0309791856127521,NA,-0.0309791856127522,-0.0309791856127519,-0.0309791856127522,NA,-0.0309791856127521,-0.0309791856127519,NA,-0.0309791856127521,-0.0309791856127521,NA,NA,-0.0309791856127523,NA,NA,NA,-0.0309791856127521
20130700_S3M_11,-0.0784114380835064,-0.0784114380835064,NA,-0.0784114380835064,-0.0784114380835064,NA,NA,-0.0784114380835063,NA,NA,-0.0784114380835064,-0.0784114380835065,NA,-0.0784114380835065,-0.0784114380835065,NA,NA,NA,NA,NA,NA,NA
20120600_P2M_9,-0.25106232375447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25106232375447,NA,NA,NA,NA,NA,NA,NA,-0.25106232375447
PMST01,-0.265124707781445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.265124707781445
20120600_P3S_2,NA,NA,0.268160358577491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160700_P15_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.317037833440156
20120600_E1D_41,NA,NA,NA,NA,NA,-0.66135200423613,NA,NA,NA,NA,NA,-0.66135200423613,NA,NA,-0.66135200423613,NA,NA,NA,-0.66135200423613,NA,NA,NA
20120700_S1D_115,NA,NA,-0.743447573062926,NA,-0.743447573062926,-0.743447573062926,NA,-0.743447573062926,-0.743447573062926,NA,NA,-0.743447573062926,NA,NA,-0.743447573062926,NA,NA,-0.743447573062926,-0.743447573062926,NA,-0.743447573062926,NA
PMWT01,-11.4875192381232,-11.4070068308624,-12.115174750847,-11.6318803291151,-11.8338059478729,-11.4799320123775,-11.7041142111003,-11.5059097726639,-11.4811934082507,-11.623605721231,-11.4328604902532,-11.7240099777642,-11.7388813650619,-11.85765310928,-11.4375666467196,-11.3124095881746,-12.2529628135111,-11.3802982356136,-11.7221535532624,-11.5911236532331,-11.703731487772,-11.4970486799024
20120700_S3X_18,NA,NA,0.401095023327478,NA,NA,0.401095023327479,NA,NA,NA,NA,NA,0.401095023327479,NA,NA,0.401095023327479,NA,NA,NA,0.401095023327478,NA,NA,NA
