New_ID,Mass
mass14240,819.2197889
mass14239,819.200736
mass14238,819.160394
mass14237,817.184703
mass14236,815.2690188
mass14235,815.182425
mass14234,815.178383
mass14233,815.177375
mass14232,815.17571
mass14231,815.1741455
mass14230,814.70424
mass14229,814.534545
mass14228,814.358304
mass14227,814.2569492
mass14226,813.2545955
mass14225,813.2535427
mass14224,812.2702615
mass14223,812.24181
mass14222,812.240625
mass14221,811.93015
mass14220,811.792955
mass14219,811.2742138
mass14218,811.239188
mass14217,811.2379685
mass14216,810.2619164
mass14215,809.374191
mass14214,809.2592946
mass14213,809.258368
mass14212,809.23692
mass14211,809.222167
mass14210,808.4917
mass14209,808.2464108
mass14208,807.31794
mass14207,807.2441667
mass14206,807.2430154
mass14205,806.314238
mass14204,805.9875153
mass14203,805.294748
mass14202,805.248289
mass14201,805.228119
mass14200,805.2270056
mass14199,805.2038135
mass14198,805.134061
mass14197,804.2912345
mass14196,804.236659
mass14195,803.289445
mass14194,803.216022
mass14193,803.211687
mass14192,803.1858045
mass14191,803.1760943
mass14190,802.275475
mass14189,801.253659
mass14188,800.263795
mass14187,799.553198
mass14186,799.3989815
mass14185,799.237696
mass14184,798.967051
mass14183,798.842884
mass14182,798.768975
mass14181,798.4046615
mass14180,798.262847
mass14179,798.2619015
mass14178,798.2543235
mass14177,797.3841685
mass14176,797.3830253
mass14175,797.2585438
mass14174,796.3106655
mass14173,796.2462067
mass14172,795.2428323
mass14171,795.233457
mass14170,795.230971
mass14169,795.221787
mass14168,795.066261
mass14167,794.2592615
mass14166,794.0946143
mass14165,793.264053
mass14164,793.228399
mass14163,793.2272284
mass14162,793.203629
mass14161,793.0911931
mass14160,792.705218
mass14159,792.366659
mass14158,791.364329
mass14157,791.226916
mass14156,790.402726
mass14155,790.103706
mass14154,789.233002
mass14153,789.231797
mass14152,787.238236
mass14151,786.722578
mass14150,786.226138
mass14149,785.259446
mass14148,785.2584383
mass14147,785.194569
mass14146,785.17536
mass14145,785.174463
mass14144,785.166479
mass14143,784.314634
mass14142,784.2455098
mass14141,783.3306475
mass14140,783.2435593
mass14139,783.2425561
mass14138,782.386421
mass14137,782.295662
mass14136,782.266642
mass14135,782.207182
mass14134,781.301646
mass14133,781.263798
mass14132,781.2272971
mass14131,781.2038027
mass14130,780.757376
mass14129,779.942972
mass14128,779.36356
mass14127,779.2484705
mass14126,779.247554
mass14125,779.212223
mass14124,779.211347
mass14123,779.21021
mass14122,779.1688453
mass14121,779.158914
mass14120,779.112006
mass14119,779.1110803
mass14118,779.091959
mass14117,778.35157
mass14116,778.299365
mass14115,778.2714217
mass14114,778.2355309
mass14113,777.348414
mass14112,777.268632
mass14111,777.2322463
mass14110,777.1896977
mass14109,777.172452
mass14108,776.797813
mass14107,776.212249
mass14106,776.196651
mass14105,775.216069
mass14104,775.1930239
mass14103,775.1837518
mass14102,775.1743137
mass14101,774.324206
mass14100,773.252353
mass14099,773.2152
mass14098,773.194954
mass14097,771.882073
mass14096,771.781821
mass14095,771.2425894
mass14094,771.179569
mass14093,770.230296
mass14092,770.221952
mass14091,769.263562
mass14090,769.228045
mass14089,769.2270728
mass14088,769.221833
mass14087,768.317257
mass14086,768.2515285
mass14085,767.335415
mass14084,767.2476586
mass14083,767.2112945
mass14082,767.081487
mass14081,766.076373
mass14080,765.2319801
mass14079,765.208686
mass14078,765.199183
mass14077,765.196176
mass14076,765.189394
mass14075,765.096029
mass14074,764.21987
mass14073,764.196982
mass14072,764.1961293
mass14071,764.187063
mass14070,763.816929
mass14069,763.3692825
mass14068,763.304232
mass14067,763.2527908
mass14066,763.2174435
mass14065,763.2165887
mass14064,763.192821
mass14063,763.186724
mass14062,763.1837322
mass14061,763.179883
mass14060,763.178952
mass14059,763.174298
mass14058,761.35293
mass14057,761.1771415
mass14056,761.1583863
mass14055,759.2733685
mass14054,759.200156
mass14053,759.1883677
mass14052,759.1792065
mass14051,759.1616201
mass14050,758.178706
mass14049,758.1770603
mass14048,757.262466
mass14047,756.2505057
mass14046,755.37278
mass14045,755.3719166
mass14044,755.24822
