Member,Value,Direction,Domain,Phylum,Class,Order,Family,Genus,Species
20110800_E3D_22,2.105305588,Sig. High,d__Bacteria,p__Bdellovibrionota,c__FAC87,o__,f__,g__,s__
20110800_E3D_26,3.077943342,Sig. High,d__Bacteria,p__Caldisericota,c__Caldisericia,o__Cryosericales,f__Cryosericaceae,g__Cryosericum,s__Cryosericum hinesii
20110800_E3D_28,-1.003467626,Low,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__
20110800_E3D_3,3.18419975,Sig. High,d__Bacteria,p__Armatimonadota,c__UBA5377,o__UBA5377,f__FEN-943,g__FEN-943,s__FEN-943 sp003170595
20110800_E3D_30,-0.723360519,Insignificant,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__EnvOPS12,g__UBA877,s__
20110800_E3D_35,1.902402133,High,d__Bacteria,p__Planctomycetota,c__FEN-1346,o__FEN-1346,f__FEN-1346,g__FEN-1346,s__FEN-1346 sp003170085
20110800_E3D_38,2.144958088,Sig. High,d__Bacteria,p__FEN-1099,c__FEN-1099,o__FEN-1099,f__FEN-1099,g__FEN-1099,s__FEN-1099 sp003170555
20110800_E3D_4,1.489144477,High,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__UBA11359,g__C7867-002,s__C7867-002 sp003170325
20110800_E3D_40,-1.033629227,Low,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__
20110800_E3D_41,2.322275473,Sig. High,d__Bacteria,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__UBA2258,s__
20110800_E3D_5,-0.689190424,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Fen-549,s__Fen-549 sp003170155
20110800_E3D_9,0.461646723,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003170375
20110800_E3M_2,2.599095608,Sig. High,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__RBG-16-71-46,f__RBG-16-71-46,g__WS-2,s__
20110800_E3M_4,-0.815249368,Insignificant,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__VadinHA17,g__LD21,s__LD21 sp003152835
20110800_E3M_6,-0.495339291,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__FEN-335,s__FEN-335 sp003154055
20110800_E3S_2,-0.830935215,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20110800_P1D_16,0.347647785,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Palsa-1032,s__
20110800_P1D_18,-0.298342357,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__PALSA-1396,s__PALSA-1396 sp003140275
20110800_P1D_29,-0.664428951,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003152145
20110800_P1M_19,0.572213271,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7541,f__UBA7541,g__UBA7541,s__
20110800_P1M_9,1.136777075,High,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__Pseudolabrys sp003133345
20110800_P2D_9,0.54114678,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__
20110800_S1D_14,-0.3383929,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__Bog-159 sp003166475
20110800_S1D_5,-0.185209254,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003166375
