Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
741.2319149,2.422058705,Sig. High,741.2319149,48,38,6,0,0,1,0,0,CHOS,NA,742.2392449,0.380466254,NA,C48H38O6S,0.56097561,0.590909091,30,24,23,74.55,740.4042487,0.595751278,-0.5,0.125,0.791666667,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
711.2212522,8.336497158,Sig. High,711.2212522,47,36,5,0,0,1,0,0,CHOS,NA,712.2285822,0.258957763,NA,C47H36O5S,0.585365854,0.609195402,30,25,24,74.85319149,710.4270962,0.572903804,-0.510638298,0.106382979,0.765957447,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
753.2318114,4.11118643,Sig. High,753.2318114,49,38,6,0,0,1,0,0,CHOS,NA,754.2391414,0.237149839,NA,C49H38O6S,0.571428571,0.6,31,25,24,74.25918367,752.390746,0.60925397,-0.489795918,0.12244898,0.775510204,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
735.2212041,3.872723797,Sig. High,735.2212041,49,36,5,0,0,1,0,0,CHOS,NA,736.2285341,0.185150828,NA,C49H36O5S,0.604651163,0.626373626,32,27,26,74.25918367,734.4002495,0.599750465,-0.489795918,0.102040816,0.734693878,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
737.2368098,2.371110985,Sig. High,737.2368098,49,38,5,0,0,1,0,0,CHOS,NA,738.2441398,0.12453674,NA,C49H38O5S,0.581395349,0.604395604,31,26,25,75.42244898,736.4136046,0.586395408,-0.530612245,0.102040816,0.775510204,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
777.268632,3.021220118,Sig. High,777.268632,52,42,5,0,0,1,0,0,CHOS,NA,778.275962,0.788960291,NA,C52H42O5S,0.565217391,0.587628866,32,27,26,76.74230769,776.4007269,0.599273098,-0.576923077,0.096153846,0.807692308,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
785.2584383,2.175198871,Sig. High,785.2584383,50,42,7,0,0,1,0,0,CHOS,NA,786.2657683,0.751705368,NA,C50H42O7S,0.523809524,0.56043956,30,23,22,75.12,784.3816117,0.618388287,-0.52,0.14,0.84,0,0,NA,Unsat Hydrocarbon,Lignin,Other
799.237696,2.520138424,Sig. High,799.237696,50,40,8,0,0,1,0,0,CHOS,NA,800.245026,0.730021989,NA,C50H40O8S,0.536585366,0.577777778,31,23,22,72.84,798.34526,0.654739951,-0.44,0.16,0.8,0,0,NA,Cond Hydrocarbon,Lignin,Other
797.2585438,2.428562892,Sig. High,797.2585438,51,42,7,0,0,1,0,0,CHOS,NA,798.2658738,0.815438128,NA,C51H42O7S,0.534883721,0.569892473,31,24,23,74.82941176,796.3683178,0.631682212,-0.509803922,0.137254902,0.823529412,0,0,NA,Unsat Hydrocarbon,Lignin,Other
827.23271,2.553934657,Sig. High,827.23271,51,40,9,0,0,1,0,0,CHOS,NA,828.24004,0.825333931,NA,C51H40O9S,0.536585366,0.582417582,32,23,22,71.47647059,826.3090146,0.690985434,-0.392156863,0.176470588,0.784313725,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
