Member,Value,Direction,Domain,Phylum,Class,Order,Family,Genus,Species
20160700_E23_6,-0.45917698,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20160700_E25_11,-0.642855387,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20160700_E25_13,-0.650548551,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20160700_E25_15,-0.561710884,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20160700_E25_27,-0.723601513,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__
20160700_P15_13,-0.317037833,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Palsa-688,g__,s__
20160700_P15_5,0.209810275,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-89,s__Palsa-89 sp003166875
20160700_S11_1,3.176691826,Sig. High,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Palsa-1150,s__
20160700_S11_6,-0.36031786,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20160700_S13_16,-0.518703699,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__
20160700_S13_19,-0.271161784,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acidocella,s__
20160700_S14_9,-0.608821285,Insignificant,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__
20160700_S15_2,-0.670541685,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__
20160700_S23_13,-0.615744479,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__
20160700_S23_14,0.200823676,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Palsa-601,s__
20160700_S23_17,-0.596192052,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
20160700_S23_5,-0.573281674,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__
20160700_S23_8,-0.67003057,Insignificant,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__
20160700_S33_6,0.820028595,Insignificant,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__FEN-1191,s__
20160700_S34_5,0.137996088,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-506,s__
20170700_E11_1,2.486214668,Sig. High,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__SZUA-47,g__,s__
20170700_E11_3,-0.755851801,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20170700_E14_6,-0.518036617,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20170700_E15_6,-0.426328031,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_P31_1,0.708036884,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7541,f__UBA7541,g__Palsa-295,s__Palsa-295 sp003153585
20170700_S24_10,-0.461373325,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003138515
20170700_S24_14,-11.63591304,Sig. Low,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S24_16,-0.596975392,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20170700_S24_4,-0.306371899,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
20170700_S24_5,-0.367638426,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003142215
20170700_S24_8,-0.576365007,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
20170700_S24_9,-0.485243247,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20170700_S25_1,-0.507598762,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__
20170700_S25_13,-0.521271907,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165095
20170700_S25_14,-0.549461913,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S25_23,2.276575608,Sig. High,d__Bacteria,p__FCPU426,c__Palsa-1180,o__,f__,g__,s__
20170700_S25_25,1.593625747,High,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__Bog-877,g__Bog-877,s__Bog-877 sp003164475
20170700_S25_26,-0.654623379,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__Bog-209 sp003139995
20170700_S25_3,-0.26526785,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-343,s__Palsa-343 sp003152595
20170700_S25_32,-0.273940656,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__Palsa-1400,s__
20170700_S25_36,-0.542322628,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__
20170700_S25_38,0.969990121,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7540,f__UBA7540,g__UBA7540,s__
20170700_S25_7,-0.64829705,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S25_8,-0.422296685,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
20170700_S25_9,-0.664282332,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003161045
20170700_S31_11,-0.068082199,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Sulfotelmatobacter,s__
20170700_S31_5,-0.676502523,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-257,s__
20170700_S33_13,-0.471479668,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,s__Bog-473 sp003169235
20170700_S33_22,-0.030979186,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-504,s__
20170700_S33_23,-0.607316618,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S33_24,-0.231356374,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Palsa-883,s__
20170700_S33_29,-0.502832576,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__Bog-209 sp003139975
20170700_S33_33,1.771232887,High,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__RBG-16-64-13,f__RBG-16-64-13,g__,s__
20170700_S33_37,0.745187946,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Palsa-465,s__
20170700_S33_5,-0.377089289,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella_A,s__
20170700_S34_10,-0.47767181,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S34_13,-0.5606625,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20170700_S34_2,0.582327282,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA8190,g__Bog-564,s__Bog-564 sp003139255
20170700_S34_23,-0.635973064,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S34_24,-0.631270558,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003156235
20170700_S34_25,1.834304113,High,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__Smithellaceae,g__UBA4810,s__UBA4810 sp002479215
20170700_S34_26,-0.508426703,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__
20170700_S34_29,-0.608034359,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-375,s__
20170700_S34_32,-0.24458557,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,s__
20170700_S34_36,-0.304790022,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__PALSA-1440,s__
20170700_S34_41,-0.189233488,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__,s__
20170700_S35_18,-0.636624755,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20170700_S35_2,2.597639908,Sig. High,d__Bacteria,p__Myxococcota,c__Polyangia,o__Palsa-1104,f__Fen-1088,g__Fen-1118,s__
20170700_S35_4,-0.412273712,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,s__
3300022861_2,-0.174371864,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
3300022861_3,3.375685781,Sig. High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__159R,s__
3300023248_5,-0.508698702,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
3300029985_7,1.667726564,High,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__LD1,g__UBA1941,s__UBA1941 sp003165135
3300036876_12,3.563897312,Sig. High,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Babeliaceae,g__BOG-1370,s__BOG-1370 sp003165355
3300036876_9,2.610049961,Sig. High,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__LD1,g__Bog-950,s__Bog-950 sp003165895
3300036888_6,-0.407724132,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__
3300036929_5,-0.648602913,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
3300037040_8,-0.740968108,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocystis,s__
3300037085_4,-0.613548475,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
3300037134_11,2.880957956,Sig. High,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,g__BOG-1338,s__
3300037149_6,1.777495586,High,d__Bacteria,p__Armatimonadota,c__BOG-944,o__Capsulimonadales,f__BOG-944,g__BOG-944,s__
3300037175_6,2.38771652,Sig. High,d__Bacteria,p__Firmicutes_B,c__Syntrophomonadia,o__Thermacetogeniales,f__Palsa-1188,g__Palsa-1188,s__Palsa-1188 sp003160265
3300037180_6,0.370698462,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Palsa-1447,s__Palsa-1447 sp003168315
3300037185_7,3.888863786,Sig. High,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__UBA8932,g__UBA1306,s__
3300037196_13,-0.167978665,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acidocella,s__
3300037196_14,2.412253214,Sig. High,d__Bacteria,p__Firmicutes_B,c__Syntrophomonadia,o__Thermacetogeniales,f__Palsa-1188,g__,s__
3300037231_11,2.014292021,Sig. High,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__UBA8621,s__
3300037342_8,1.896368557,High,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__SXWH01,s__
3300037349_11,-0.334210706,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
3300037349_9,0.995956129,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Palsa-1447,s__
3300037359_10,1.706064157,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Gallionellaceae,g__PALSA-1006,s__
3300037360_7,-0.446963702,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__
3300037549_16,-0.564956213,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__
3300038457_7,2.854253067,Sig. High,d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Obscuribacterales,f__Obscuribacteraceae,g__,s__
PLCS01,-0.759348804,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003134855
PLGF01,-0.337928062,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__Palsa-1400,s__Palsa-1400 sp003138485
PLHP01,-0.631372207,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__Bog-209 sp003138955
PLNE01,-0.240188619,Insignificant,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003141695
PLNV01,2.862717341,Sig. High,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__Smithellaceae,g__Smithella,s__Smithella sp003139775
PLPO01,-0.452420545,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003142235
PLRX01,-0.74937393,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__Bog-756 sp003164095
PLSG01,3.385217822,Sig. High,d__Bacteria,p__Verrucomicrobiota_A,c__Chlamydiia,o__Parachlamydiales,f__Parachlamydiaceae,g__BOG-1457,s__BOG-1457 sp003164155
PLSJ01,2.843569699,Sig. High,d__Bacteria,p__Desulfobacterota,c__Syntrophorhabdia,o__Syntrophorhabdales,f__WCHB1-27,g__BOG-1155,s__BOG-1155 sp003165115
PLSL01,0.052201214,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__,s__
PLSR01,4.95821907,Sig. High,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__UBA2163,g__UBA10103,s__UBA10103 sp003164215
PLSW01,0.185577544,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__BOG-935,s__BOG-935 sp003165275
PLTJ01,-0.149680143,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__BOG-930,s__BOG-930 sp003164455
PLTN01,-0.659022696,Insignificant,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1524,s__Bog-1524 sp003164495
PLTT01,1.553613688,High,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,g__BOG-1338,s__BOG-1338 sp003164595
PLTW01,2.021928924,Sig. High,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__UBA2241,f__UBA2241,g__Bog-752,s__Bog-752 sp003164655
PLTZ01,0.814206887,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Palsa-1447,s__Palsa-1447 sp003164715
PLXS01,0.663751453,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__Palsa-1447,s__Palsa-1447 sp003151515
PMCB01,3.495756922,Sig. High,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__UBA3254,g__Fen-1064,s__Fen-1064 sp003153955
PMLV01,-0.441751017,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,s__Bog-473 sp003160635
PMST01,-0.265124708,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-504,s__Palsa-504 sp003168295
PMTF01,-0.690668819,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003167415
PMWT01,-11.63276554,Sig. Low,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Palsa-688,g__Fen-671,s__Fen-671 sp003166025
PMZX01,2.559831707,Sig. High,d__Bacteria,p__Myxococcota,c__Polyangia,o__Palsa-1104,f__Fen-1088,g__Fen-1137,s__Fen-1137 sp003170035
