Microbe,cluster,rho,pvalue,p_adj
20130700_C1D_6,Cluster2,0.3566603383328442,0.0871214793451267,0.25499807159445365
20130700_C1D_6,Cluster3,0.4125327933143784,0.04514095700127907,0.171959612444099
20160700_E33_2,Cluster1,0.06057976348753957,0.7785616033908211,0.8902985438052
20160700_E33_2,Cluster2,0.3498915989832814,0.09372551018754649,0.2667261945702864
20160700_E33_2,Cluster3,0.14307458481299565,0.5048065116624989,0.7095074631738646
20111000_E3D_3,Cluster1,-0.03267981611976139,0.8795093914733858,0.9444770448206244
20111000_E3D_3,Cluster2,0.4800706240467617,0.01758744971942594,0.09536898868651505
20111000_E3D_3,Cluster3,-0.1817391304347826,0.3953708419767237,0.6212786484781562
PMCB01,Cluster1,-0.003921577934371367,0.9854903639127255,0.9938065161905195
PMCB01,Cluster2,0.32498428814780783,0.12126013025799098,0.31176562455197415
PMCB01,Cluster3,0.40347826086956523,0.050565915646425985,0.18370823625703803
20120800_E2D_18,Cluster1,0.25795268190531656,0.22361551615816233,0.44903796124637324
20120800_E2D_18,Cluster2,-0.05401883609963562,0.8020517757378283,0.9030917754808419
20120800_E2D_18,Cluster3,0.0808695652173913,0.7071807504682379,0.8470549428303636
20130700_C1M_6,Cluster1,0.1995647437713429,0.34982742183650073,0.5789274992264257
20130700_C1M_6,Cluster2,0.028316325374808993,0.8955051123436215,0.9512309050292136
20130700_C1M_6,Cluster3,0.18,0.3999850754506149,0.625424140815548
20110800_E2D_35,Cluster1,0.10249188824469624,0.6336756589554895,0.800323320148808
20110800_E2D_35,Cluster2,-0.33515139106879344,0.10938846202479535,0.2930176523916177
20110800_E2D_35,Cluster3,0.16791739188840418,0.43286270895592427,0.6543612449379903
20110800_E2S_1,Cluster1,0.07823070176988024,0.7163442666214257,0.8517949255600668
20110800_E2S_1,Cluster2,-0.1285405002491507,0.5494446704382363,0.7413221614005584
20110800_E2S_1,Cluster3,0.2874538010984502,0.17319630994371815,0.3859780630005105
20110800_E2S_4,Cluster1,0.05538600466409888,0.7971424229660726,0.9001028042879714
20110800_E2S_4,Cluster2,0.00784827150365672,0.9709662730285715,0.9877476481762884
20110800_E2S_4,Cluster3,0.1601393121726701,0.4547720890857696,0.6715488719511908
20110800_E3D_16,Cluster1,-0.042285836868055926,0.8444646472999064,0.925794121565701
20110800_E3D_16,Cluster2,-0.01831232717218778,0.9323175324908393,0.970930943774377
20110800_E3D_16,Cluster3,-0.009476684823226637,0.9649454519735639,0.9853089805787075
20120600_E1D_32,Cluster1,0.13196023464301906,0.5387812520544395,0.7341174996233333
20120600_E1D_32,Cluster2,-0.057720001411456924,0.7887786108689614,0.8955633886989043
