Microbe,cluster,rho,pvalue,p_adj
20111000_S1D_14,Cluster1,-0.2165574786087903,0.3457429276648547,0.4544204752601931
20111000_S1D_14,Cluster2,-0.0943154687727409,0.6763207631727315,0.7565947502827933
20111000_S1D_14,Cluster3,0.03309704471421408,0.8837502412389513,0.9185767008010526
20111000_S1D_14,Cluster4,0.07128954978035801,0.7525637578946351,0.8181447541298916
Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29,Cluster1,-0.08576391916591357,0.7116536878783513,0.7854075783426778
Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29,Cluster2,0.25410365050506484,0.25381366249124726,0.3572632494387754
Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29,Cluster3,0.30847462550267324,0.16248699432385894,0.25012854445583116
Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.31_85.09_2.29,Cluster4,0.028797289666854884,0.8987720143803855,0.9295810531126353
20120700_S1D_43,Cluster1,-0.4864319995440746,0.025351076536537454,0.055022888324738166
20120700_S1D_43,Cluster2,-0.16468633028279256,0.46393573252456033,0.5731217936327768
20120700_S1D_43,Cluster3,-0.02429378918793947,0.9145414825934242,0.9410037046564517
20120700_S1D_43,Cluster4,0.269339356295878,0.22546327178614423,0.3257327816110514
20130700_C2M_2,Cluster1,0.05165591232870227,0.8240257812268361,0.8739805731904857
20130700_C2M_2,Cluster2,0.1814858262748196,0.4189174824662767,0.5296646359658932
20130700_C2M_2,Cluster3,0.23139399364851396,0.30014228286373146,0.4071099451328844
20130700_C2M_2,Cluster4,0.03478930029281471,0.8778483966827746,0.9150692146537515
20110700_S3M_18,Cluster1,-0.07170717345454021,0.7574128988540569,0.82163123668540206
20110700_S3M_18,Cluster2,-0.35402770180478677,0.10599468301238302,0.17754192987806475
20110700_S3M_18,Cluster3,-0.008777155770614076,0.9690769676840865,0.9784741521216366
20110700_S3M_18,Cluster4,0.2789559067527617,0.20868797660945604,0.30551444177221504
PMWT01,Cluster1,-0.3685884464916743,0.100147312551778,0.16940399620539132
PMWT01,Cluster2,0.03395594438820465,0.8807540126733451,0.9166200879413352
PMWT01,Cluster3,0.21355935611723534,0.3399402418699844,0.44886763308998934
PMWT01,Cluster4,0.0942970073404856,0.676380794270764,0.7565947502827933
20120600_E2D_28,Cluster1,-0.20930899231725114,0.36251395006935283,0.47240979456481474
20120600_E2D_28,Cluster2,-0.05275247212322982,0.8156450334890466,0.8679474336059049
20120600_E2D_28,Cluster3,0.17320254054011777,0.4408109588882141,0.5509873083850527
20120600_E2D_28,Cluster4,0.15146662442131087,0.5010298411541569,0.606435678424774
20160700_S13_16,Cluster1,-0.228251002827128,0.31966488362461987,0.42837998494480306
20160700_S13_16,Cluster2,0.12466793402091036,0.5804168876752662,0.6755769297548525
20160700_S13_16,Cluster3,0.04717763336413855,0.8348529841164343,0.8821997141124247
20160700_S13_16,Cluster4,0.08793803684155692,0.6971690135963611,0.7733148269971128
20140700_E14_11,Cluster1,-0.4648273481511346,0.03374590080073436,0.0696470975069956
20140700_E14_11,Cluster2,-0.5183940843265911,0.01344874419369635,0.0326392139418453
20140700_E14_11,Cluster3,-0.5451978271246881,0.00868797193589943,0.02289952297114115
20140700_E14_11,Cluster4,0.24449463579898362,0.27282048885058074,0.37780799790321645
20110800_S1S_1,Cluster1,0.48344635897375204,0.026400562435007213,0.05679775289022282
