Microbe,cluster,rho,pvalue,p_adj,Domain,Phylum,Class,Order,Family,Genus,Species
3300022861_2,Cluster1,-0.6170856757848461,0.0028828741104054423,0.009351876899382834,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
Bog.None.R3.T0.JGI.BFC.metaspades_bin.339_96.94_3.52,Cluster3,0.5804371178322216,0.004623741875253939,0.013661133496786075,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7540,f__UBA7540,g__Bog-366,s__
20120700_S1D_25,Cluster2,-0.48443854415089643,0.02232602112073412,0.04953012706787568,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Holophaga,s__Holophaga sp003165415
20120700_S1D_25,Cluster3,-0.5135748317722875,0.0144959797176627,0.03468020016249954,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Holophaga,s__Holophaga sp003165415
Bog.None.R1.T0.trimmomatic.megahit_bin.120_96.00_3.87,Cluster3,0.5108183201287587,0.015124156751534334,0.03588228774411918,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__PALSA-1152,s__
Bog.None.R3.T0.trimmomatic.megahit_bin.383_96.18_3.47,Cluster1,0.6086693408723414,0.003410506267691682,0.010672318866744487,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__Bog-1198 sp003137095
20111000_S3M_6,Cluster1,0.5231195696572781,0.0149581718403069,0.03554573919867679,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__
20111000_S2M_4,Cluster4,0.6438670027952725,0.001222779901485893,0.004713309124261254,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__Bog-1198 sp003134045
20110800_S2M_9,Cluster1,-0.5762228492609042,0.006257792635575354,0.01752996210257622,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__Bog-1198 sp003164785
20160700_S33_6,Cluster2,0.4940329292363518,0.019442916801093002,0.04427460085165989,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__FEN-1191,s__
Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25,Cluster1,0.49752574716277137,0.02173822238641243,0.0484555227141369,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__,s__
Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25,Cluster2,0.5325930111544473,0.010715871625684326,0.027058892196667777,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__,s__
Bog.Unlabelled.R2.T3.F3.trimmomatic.metaspades_bin.116_93.32_2.25,Cluster3,0.5455818336895777,0.008631548120888954,0.0227777361460795,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__,s__
PLTJ01,Cluster1,-0.6291123097109315,0.0022486641359158455,0.007684141645061204,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__BOG-930,s__BOG-930 sp003164455
PLTJ01,Cluster2,-0.5622017715564369,0.0064628684914431744,0.018018893583685896,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__BOG-930,s__BOG-930 sp003164455
PLTJ01,Cluster3,-0.5395926389745714,0.009546742095187799,0.024609894549908872,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__BOG-930,s__BOG-930 sp003164455
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.22_74.64_1.66,Cluster3,0.5366262143512918,0.010028713442151727,0.025616070842860217,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__,s__
3300037360_7,Cluster1,-0.7102746926653506,3.0896706739413915e-4,0.0015960292965810736,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__
PLSW01,Cluster1,-0.6224726709630303,0.0025824378601324582,0.008554963100388894,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__BOG-935,s__BOG-935 sp003165275
20120700_S1D_28,Cluster1,-0.5774746465560643,0.006119890193240218,0.017213271657575902,d__Bacteria,p__Armatimonadota,c__SYMT01,o__,f__,g__,s__
