Microbe,cluster,rho,pvalue,p_adj,Domain,Phylum,Class,Order,Family,Genus,Species
20110800_S1S_6,Cluster1,0.6384943118373294,0.0018393266004779196,0.006530331697000023,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003133075
20120700_S1D_96,Cluster1,0.5326829821100618,0.012914110190347827,0.03156408245511372,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20120700_S1D_96,Cluster2,0.5490920294069261,0.008129629815140316,0.02168309602963341,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20140700_S31_6,Cluster1,0.5763506148083232,0.006243601053637304,0.017496360314071396,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20120600_S1S_4,Cluster3,0.5107345447883088,0.01514358854985387,0.035922053184592316,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003160115
20140700_S11_7,Cluster1,0.5278486503747275,0.013916997383624174,0.033491191135727606,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1527,s__Bog-1527 sp003155175
20140700_S11_7,Cluster3,0.5719129925972021,0.005419980680586356,0.015574623416742648,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1527,s__Bog-1527 sp003155175
PLTN01,Cluster1,-0.526524602489028,0.01420240016097396,0.03407506580790304,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1524,s__Bog-1524 sp003164495
20120700_S1S_1,Cluster1,0.6093426476653417,0.0033655276818334023,0.01056893780786279,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1492,s__
20120700_S1S_1,Cluster2,0.5597623430853831,0.006749455372891955,0.01867411836497772,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1492,s__
20120700_S1S_1,Cluster3,0.5049790286693299,0.016527931133808238,0.038670358480349394,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1492,s__
20110800_S3S_4,Cluster1,0.6388355889291998,0.0018257085493749159,0.006492007821671671,d__Bacteria,p__FCPU426,c__Palsa-1180,o__Palsa-1180,f__Palsa-1180,g__Bog-1183,s__Bog-1183 sp003136635
20110800_S3S_4,Cluster3,0.5751897344539275,0.005101388280279284,0.014830331513344758,d__Bacteria,p__FCPU426,c__Palsa-1180,o__Palsa-1180,f__Palsa-1180,g__Bog-1183,s__Bog-1183 sp003136635
