featureid,cluster,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
693.2103594,1,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,NA,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,7.34588719026042,NA,7.34588719026042,NA,NA
677.2154775,1,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,NA,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,5.98064706839087,NA,NA,5.98064706839087,NA,NA
681.2103842,1,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,NA,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,7.36233005034808,NA,NA,NA,7.36233005034808
659.2048427,1,4.0078422545587,NA,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,NA,4.0078422545587,4.0078422545587,NA,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,4.0078422545587,NA,NA,NA,4.0078422545587,NA,NA,NA,NA,NA
507.0184146,1,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,NA,NA,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,NA,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,9.61309037441146,NA,NA,NA,NA,NA
693.1739096,2,NA,1.76383506591321,NA,1.76383506591321,1.76383506591321,1.76383506591321,1.76383506591321,1.76383506591321,NA,NA,1.76383506591321,1.76383506591321,1.76383506591321,1.76383506591321,NA,NA,NA,1.76383506591321,1.76383506591321,1.76383506591321,1.76383506591321,1.76383506591321,NA,NA,NA,NA,NA
679.194763,1,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,NA,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,4.42179253346323,NA,NA,NA,4.42179253346323
645.1679137,2,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,NA,NA,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,1.79837247969538,NA,NA,1.79837247969538,NA,NA,NA,NA,NA
643.188631,2,1.49107378153911,1.49107378153911,1.49107378153911,1.49107378153911,NA,1.49107378153911,1.49107378153911,1.49107378153911,NA,NA,NA,NA,1.49107378153911,1.49107378153911,1.49107378153911,1.49107378153911,NA,1.49107378153911,NA,1.49107378153911,1.49107378153911,1.49107378153911,NA,NA,NA,NA,NA
617.1154776,2,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,NA,NA,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,NA,1.86800433119957,1.86800433119957,1.86800433119957,1.86800433119957,NA,1.86800433119957,NA,NA,NA,NA,NA
643.1676026,2,2.03261439765623,2.03261439765623,2.03261439765623,2.03261439765623,2.03261439765623,2.03261439765623,2.03261439765623,NA,NA,NA,2.03261439765623,2.03261439765623,2.03261439765623,2.03261439765623,2.03261439765623,NA,NA,2.03261439765623,2.03261439765623,NA,NA,2.03261439765623,NA,NA,NA,NA,NA
