featureid,cluster,June_E_1_S_12_so_R1,June_E_1_D_12_so_R1,June_E_2_S_12_so_R2,June_E_2_S_12_so_R1,June_E_2_M_12_so_R2,June_E_2_M_12_so_R1,June_E_2_D_12_so_R1,June_E_3_S_12_so_R1,June_E_3_M_12_so_R1,June_E_3_D_12_so_R2,June_E_3_D_12_so_R1,July_E_1_S_12_so_R1,July_E_1_M_12_so_R2,July_E_1_D_12_so_R2,July_E_1_D_12_so_R1,July_E_2_S_12_so_R1,July_E_2_D_12_so_R1,July_E_3_S_12_so_R1,July_E_3_M_12_so_R1,July_E_3_D_12_so_R1,Aug_E_1_S_12_so_R1,Aug_E_1_M_12_so_R1,Aug_E_1_D_12_so_R1,Aug_E_2_S_12_so_R1,Aug_E_2_M_12_so_R1,Aug_E_2_D_12_so_R1,Aug_E_3_S_12_so_R1,Aug_E_3_M_12_so_R2,Aug_E_3_M_12_so_R1
673.2206247,1,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,1.01656118492937,NA,NA,1.01656118492937,NA,1.01656118492937,1.01656118492937,NA,1.01656118492937,1.01656118492937,NA,1.01656118492937,1.01656118492937,NA,1.01656118492937,1.01656118492937,1.01656118492937
590.1658177,1,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,NA,7.86880801219845,7.86880801219845,NA,7.86880801219845,7.86880801219845,NA,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,7.86880801219845,NA,7.86880801219845,7.86880801219845,7.86880801219845
481.4261243,1,NA,11.2712798801779,11.2712798801779,NA,NA,NA,11.2712798801779,NA,11.2712798801779,11.2712798801779,11.2712798801779,11.2712798801779,11.2712798801779,11.2712798801779,11.2712798801779,11.2712798801779,11.2712798801779,NA,NA,11.2712798801779,NA,11.2712798801779,NA,11.2712798801779,11.2712798801779,11.2712798801779,NA,NA,NA
667.3189739,1,2.18766196770046,2.18766196770046,2.18766196770046,2.18766196770046,2.18766196770046,2.18766196770046,NA,2.18766196770046,NA,NA,NA,2.18766196770046,NA,NA,NA,2.18766196770046,NA,2.18766196770046,2.18766196770046,NA,2.18766196770046,2.18766196770046,NA,NA,NA,NA,2.18766196770046,2.18766196770046,2.18766196770046
647.1990542,1,2.27932955187098,NA,2.27932955187098,2.27932955187098,2.27932955187098,2.27932955187098,2.27932955187098,2.27932955187098,NA,NA,NA,2.27932955187098,NA,NA,NA,2.27932955187098,NA,NA,2.27932955187098,2.27932955187098,2.27932955187098,NA,2.27932955187098,2.27932955187098,NA,2.27932955187098,NA,2.27932955187098,2.27932955187098
677.1791149,2,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,NA,-0.459283351374095,-0.459283351374095,-0.459283351374095,NA,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,NA,-0.459283351374095,-0.459283351374095,NA,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,-0.459283351374095,NA,-0.459283351374095,-0.459283351374095
679.194763,3,-13.0318765404083,-13.2786431795894,-13.4682363390474,-13.3214697351596,-13.2825174376422,-13.7455783540079,-13.6818039439285,-13.2870141630638,-13.0616798022702,-13.3057570200157,-13.7298337164179,-13.594097175808,-13.2499681525799,-13.2592543798289,-13.2155444441904,-13.6315537803137,-13.3121509332605,-13.4533769440605,-14.1232241997098,-13.3669578812142,-13.8904322272796,-13.050428133558,-13.5146339050811,-13.5105425679795,-13.4180552281787,-13.1365429121452,-13.5315440014707,-13.4584615299103,-13.5988888580106
645.1679137,1,0.896395532960576,0.896395532960576,0.896395532960576,0.896395532960576,NA,NA,0.896395532960576,0.896395532960576,NA,0.896395532960576,0.896395532960576,NA,NA,NA,NA,0.896395532960576,NA,0.896395532960576,NA,NA,0.896395532960576,0.896395532960576,0.896395532960576,0.896395532960576,0.896395532960576,0.896395532960576,NA,0.896395532960576,0.896395532960576
643.188631,1,1.44692278088714,1.44692278088714,1.44692278088714,1.44692278088714,1.44692278088714,1.44692278088714,1.44692278088714,NA,1.44692278088714,1.44692278088714,1.44692278088714,1.44692278088714,1.44692278088714,NA,NA,1.44692278088714,NA,NA,NA,NA,1.44692278088714,1.44692278088714,1.44692278088714,1.44692278088714,NA,NA,1.44692278088714,1.44692278088714,1.44692278088714
659.1626498,1,2.7386748477934,2.7386748477934,NA,NA,NA,NA,2.7386748477934,2.7386748477934,NA,2.7386748477934,2.7386748477934,2.7386748477934,2.7386748477934,NA,2.7386748477934,2.7386748477934,2.7386748477934,NA,NA,2.7386748477934,2.7386748477934,2.7386748477934,2.7386748477934,2.7386748477934,2.7386748477934,2.7386748477934,NA,NA,NA
