featureid,cluster,sil_width,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
430.2021956,1,0.41056623138966897,3.41244671,Sig. High,430.2021956,27,29,4,1,0,0,0,0,CHNO,NA,431.2095256,-0.432283679,NA,C27H29O4N,0.409090909,0.458333333,14,10,9,79.3,429.721828,0.278172015,-0.666666667,0.148148148,1.074074074,0.037037037,0,NA,Unsat Hydrocarbon,Lignin,Other
507.0184146,1,0.4071537604068661,9.613090374,Sig. High,507.0184146,28,12,8,0,0,1,0,0,CHOS,NA,508.0257446,0.794573496,NA,C28H12O8S,0.736842105,0.782608696,23,15,14,54.19285714,506.4522733,0.547726691,0.214285714,0.285714286,0.428571429,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
517.1409968,2,0.6145075963687316,0.772991814,Insignificant,517.1409968,18,30,17,0,0,0,0,0,CHO,NA,518.1483268,-0.050727036,NA,C18H30O17,0,0,4,-13,-13,53.96666667,516.5635525,0.436447457,0.222222222,0.944444444,1.666666667,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
579.1781253,2,0.6145059706003275,0.771939929,Insignificant,579.1781253,20,36,19,0,0,0,0,0,CHO,NA,580.1854553,0.556288509,NA,C20H36O19,0,0,3,-16,-16,57.45,578.5314098,0.468590169,0.1,0.95,1.8,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
511.0516775,2,0.6145029351609758,0.771404511,Insignificant,511.0516775,24,16,13,0,0,0,0,0,CHO,NA,512.0590075,-0.266893476,NA,C24H16O13,0.363636364,0.6,17,4,4,48.425,510.4810326,0.518967369,0.416666667,0.541666667,0.666666667,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
397.1248702,2,0.6144959223644393,0.777548783,Insignificant,397.1248702,17,22,9,2,0,0,0,0,CHNO,NA,398.1322002,-0.963637546,NA,C17H22O9N2,0,0.142857143,8,-1,-3,56.94705882,396.681437,0.318562978,0.117647059,0.529411765,1.294117647,0.117647059,0,NA,Lignin,Lignin,Other
400.1245738,2,0.614451590542494,0.784251636,Insignificant,400.1245738,17,23,10,1,0,0,0,0,CHNO,NA,401.1319038,-0.861888488,NA,C17H23O10N,0,0.090909091,7,-3,-4,60.3,399.6777911,0.322208874,0,0.588235294,1.352941176,0.058823529,0,NA,Lignin;Amino Sugar,Lignin,Other
561.0887594,2,0.6144055356338107,0.761543468,Insignificant,561.0887594,25,22,15,0,0,0,0,0,CHO,NA,562.0960894,0.270829162,NA,C25H22O15,0,0.428571429,15,0,0,51.18,560.4622427,0.537757321,0.32,0.6,0.88,0,0,NA,Lignin,Lignin,Other
393.151118,2,0.6144035262533862,0.788780903,Insignificant,393.151118,15,26,10,2,0,0,0,0,CHNO,NA,394.158448,-0.889590438,NA,C15H26O10N2,0,0,4,-6,-8,60.3,392.7121219,0.287878051,0,0.666666667,1.733333333,0.133333333,0,NA,Amino Sugar,Amino Sugar,Other
587.1256338,2,0.6143862065305066,0.760176023,Insignificant,587.1256338,24,28,17,0,0,0,0,0,CHO,NA,588.1329638,0.443321758,NA,C24H28O17,0,0.161290323,11,-6,-6,53.175,586.4700441,0.529955928,0.25,0.708333333,1.166666667,0,0,NA,Tannin,Tannin,Other
371.1649302,2,0.6143681496796441,0.791203582,Insignificant,371.1649302,25,24,3,0,0,0,0,0,CHO,NA,372.1722602,-0.908037712,NA,C25H24O3,0.5,0.531914894,14,11,11,80.82,370.7504841,0.249515877,-0.72,0.12,0.96,0,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
557.1513772,2,0.6142893188315802,0.7954513,Insignificant,557.1513772,24,30,15,0,0,0,0,0,CHO,NA,558.1587072,0.328482158,NA,C24H30O15,0,0.151515152,10,-5,-5,60.3,556.529257,0.470743005,0,0.625,1.25,0,0,NA,Lignin,Lignin,Other
457.146134,2,0.6142870832674654,0.754788816,Insignificant,457.146134,19,26,11,2,0,0,0,0,CHNO,NA,458.153464,-0.544056359,NA,C19H26O11N2,0,0.043478261,8,-3,-5,57.3,456.6356805,0.364319457,0.105263158,0.578947368,1.368421053,0.105263158,0,NA,Lignin;Amino Sugar,Lignin,Other
555.1145779,2,0.6141717752848695,0.800691476,Insignificant,555.1145779,27,24,13,0,0,0,0,0,CHO,NA,556.1219079,0.293940795,NA,C27H24O13,0.214285714,0.463414634,16,3,3,58.18888889,554.494732,0.505267997,0.074074074,0.481481481,0.888888889,0,0,NA,Lignin,Lignin,Other
406.0857112,2,0.614110535033868,0.747052731,Insignificant,406.0857112,16,24,8,0,0,1,1,0,CHOSP,NA,407.0930412,0.093194366,NA,C16H24O8SP,0,0,5.5,-2.5,-4.5,79.89375,405.6322723,0.367727733,-0.6875,0.5,1.5,0,0.0625,0,Protein,Protein,Lipid
664.2029545,2,0.6140384521876735,0.744407423,Insignificant,664.2029545,34,35,13,1,0,0,0,0,CHNO,NA,665.2102845,-0.915825925,NA,C34H35O13N,0.2,0.396226415,18,5,4,65.32941176,663.4612995,0.538700453,-0.176470588,0.382352941,1.029411765,0.029411765,0,NA,Lignin,Lignin,Other
559.1153491,2,0.6140250242065954,0.743981733,Insignificant,559.1153491,19,28,19,0,0,0,0,0,CHO,NA,560.1226791,0.262214665,NA,C19H28O19,0,0,6,-13,-13,45.3,558.4910359,0.508964094,0.526315789,1,1.473684211,0,0,NA,Other,Tannin,Other
421.1824771,2,0.6135823189235547,0.823486502,Insignificant,421.1824771,17,30,10,2,0,0,0,0,CHNO,NA,422.1898071,-0.690682109,NA,C17H30O10N2,0,0,4,-6,-8,67.00588235,420.712181,0.287819017,-0.235294118,0.588235294,1.764705882,0.117647059,0,NA,Amino Sugar,Amino Sugar,Other
595.1519672,2,0.6135207616894288,0.825589689,Insignificant,595.1519672,23,32,18,0,0,0,0,0,CHO,NA,596.1592972,0.636419288,NA,C23H32O18,0,0,8,-10,-10,55.34347826,594.4874152,0.512584803,0.173913043,0.782608696,1.391304348,0,0,NA,Other,Tannin,Other
499.1304101,2,0.6134710195834472,0.728704966,Insignificant,499.1304101,18,28,16,0,0,0,0,0,CHO,NA,500.1377401,-0.1280234,NA,C18H28O16,0,0,5,-11,-11,53.96666667,498.5730766,0.426923375,0.222222222,0.888888889,1.555555556,0,0,NA,Carbohydrate,Carbohydrate,Other
407.109295,2,0.6133488207693627,0.830797647,Insignificant,407.109295,18,20,9,2,0,0,0,0,CHNO,NA,408.116625,-0.756755712,NA,C18H20O9N2,0,0.304347826,10,1,-1,53.96666667,406.6547131,0.345286876,0.222222222,0.5,1.111111111,0.111111111,0,NA,Lignin,Lignin,Other
559.166983,2,0.6132663763490227,0.833042345,Insignificant,559.166983,24,32,15,0,0,0,0,0,CHO,NA,560.174313,0.248357037,NA,C24H32O15,0,0.090909091,9,-6,-6,62.675,558.5426122,0.457387849,-0.083333333,0.625,1.333333333,0,0,NA,Lignin,Lignin,Other
597.2191536,2,0.6132530952191411,0.833369752,Insignificant,597.2191536,28,38,14,0,0,0,0,0,CHO,NA,598.2264836,0.458313392,NA,C28H38O14,0,0.142857143,10,-4,-4,70.47857143,596.5522934,0.447706642,-0.357142857,0.5,1.357142857,0,0,NA,Lignin,Lignin,Other
471.1619126,2,0.6132064349932285,0.722294427,Insignificant,471.1619126,20,28,11,2,0,0,0,0,CHNO,NA,472.1692426,-0.25563586,NA,C20H28O11N2,0,0.04,8,-3,-5,60.3,470.635809,0.364191001,0,0.55,1.4,0.1,0,NA,Lignin;Amino Sugar,Lignin,Other
