featureid,cluster,sil_width,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
511.0880966,1,0.9079104856494482,-0.396754926,Insignificant,511.0880966,25,20,12,0,0,0,0,0,CHO,NA,512.0954266,-0.201291705,NA,C25H20O12,0.307692308,0.526315789,16,4,4,55.74,510.5174111,0.482588935,0.16,0.48,0.8,0,0,NA,Cond Hydrocarbon,Lignin,Other
420.1741933,1,0.9078990401909401,-0.420137368,Insignificant,420.1741933,19,34,6,0,0,1,1,0,CHOSP,NA,421.1815233,0.234988217,NA,C19H34O6SP,0,0,3.5,-2.5,-4.5,97.8,419.705023,0.294976958,-1.315789474,0.315789474,1.789473684,0,0.052631579,0,Protein,Protein,Lipid
394.1220021,1,0.9078982842238207,-0.39634029,Insignificant,394.1220021,16,28,7,0,0,1,1,0,CHOSP,NA,395.1293321,-0.143511002,NA,C16H28O7SP,0,0,3.5,-3.5,-5.5,90.58125,393.681922,0.318078048,-1.0625,0.4375,1.75,0,0.0625,0,Protein,Protein,Lipid
319.1699065,1,0.9078890116794422,-0.420398882,Insignificant,319.1699065,14,28,4,2,0,1,0,0,CHNOS,NA,320.1772365,0.641877887,NA,C14H28O4N2S,0,0,2,-2,-5,84.72857143,318.8135185,0.186481469,-0.857142857,0.285714286,2,0.142857143,0,NA,Lipid,Lipid,Protein
403.2334072,1,0.9078681122912076,-0.39535398,Insignificant,403.2334072,20,36,8,0,0,0,0,0,CHO,NA,404.2407372,-0.827367795,NA,C20H36O8,0,0,3,-5,-5,88.8,402.7831532,0.216846825,-1,0.4,1.8,0,0,NA,Protein,Protein,Other
471.1658676,1,0.9078655673691849,-0.420993144,Insignificant,471.1658676,25,28,9,0,0,0,0,0,CHO,NA,472.1731976,-0.399184139,NA,C25H28O9,0.1875,0.365853659,12,3,3,71.7,470.6397596,0.360240417,-0.4,0.36,1.12,0,0,NA,Lignin,Lignin,Other
302.1069556,1,0.9078651265596274,-0.421004012,Insignificant,302.1069556,13,21,5,1,0,1,0,0,CHNOS,NA,303.1142856,0.624533916,NA,C13H21O5NS,0,0,4,-1,-3,73.45384615,301.7696203,0.230379726,-0.461538462,0.384615385,1.615384615,0.076923077,0,NA,Protein,Protein,Other
491.0830051,1,0.9078595446269069,-0.395084159,Insignificant,491.0830051,22,20,13,0,0,0,0,0,CHO,NA,492.0903351,-0.221900817,NA,C22H20O13,0,0.419354839,13,0,0,52.52727273,490.5346574,0.465342571,0.272727273,0.590909091,0.909090909,0,0,NA,Lignin,Lignin,Other
491.1194175,1,0.9078592198289981,-0.395074286,Insignificant,491.1194175,23,24,12,0,0,0,0,0,CHO,NA,492.1267475,-0.167253347,NA,C23H24O12,0,0.352941176,12,0,0,60.3,490.5710292,0.428970829,0,0.52173913,1.043478261,0,0,NA,Lignin,Lignin,Other
481.1560625,1,0.9078592186286641,-0.395074251,Insignificant,481.1560625,32,22,3,2,0,0,0,0,CHNO,NA,482.1633925,0.614716678,NA,C32H22O3N2,0.666666667,0.684210526,23,20,18,69.20625,480.6187993,0.381200658,-0.3125,0.09375,0.6875,0.0625,0,NA,Other,Cond Hydrocarbon,Other
509.1146955,1,0.9078484838309842,-0.421403386,Insignificant,509.1146955,19,26,16,0,0,0,0,0,CHO,NA,510.1220255,-0.221110871,NA,C19H26O16,0,0,7,-9,-9,51.3,508.5462135,0.453786517,0.315789474,0.842105263,1.368421053,0,0,NA,Other,Tannin,Other
405.2854294,1,0.9078327078139105,-0.394320957,Insignificant,405.2854294,21,42,7,0,0,0,0,0,CHO,NA,406.2927594,-0.856227617,NA,C21H42O7,0,0,1,-6,-6,98.3,404.8328841,0.167115931,-1.333333333,0.333333333,2,0,0,NA,Protein,Protein,Other
541.1410948,1,0.907832362006688,-0.394311444,Insignificant,541.1410948,20,30,17,0,0,0,0,0,CHO,NA,542.1484248,0.132223354,NA,C20H30O17,0,0,6,-11,-11,54.6,540.5368518,0.463148181,0.2,0.85,1.5,0,0,NA,Carbohydrate,Carbohydrate,Other
533.093659,1,0.9078272717858752,-0.421899317,Insignificant,533.093659,24,22,14,0,0,0,0,0,CHO,NA,534.100989,-0.037346248,NA,C24H22O14,0,0.411764706,14,0,0,53.175,532.4984019,0.501598142,0.25,0.583333333,0.916666667,0,0,NA,Lignin,Lignin,Other
409.1348574,1,0.9078236104447216,-0.394078036,Insignificant,409.1348574,29,18,1,2,0,0,0,0,CHNO,NA,410.1421874,0.538086341,NA,C29H18ON2,0.730769231,0.735849057,22,21,19,70.12758621,408.6780138,0.321986237,-0.344827586,0.034482759,0.620689655,0.068965517,0,NA,Other,Cond Hydrocarbon,Other
324.1164253,1,0.9078036613339021,-0.393561917,Insignificant,324.1164253,13,26,5,0,0,1,1,0,CHOSP,NA,325.1237553,-0.4742798,NA,C13H26O5SP,0,0,1.5,-3.5,-5.5,101.9538462,323.754514,0.245485996,-1.461538462,0.384615385,2,0,0.076923077,0,Protein,Protein,Lipid
315.1750095,1,0.9077995225200053,-0.422531916,Insignificant,315.1750095,15,28,3,2,0,1,0,0,CHNOS,NA,316.1823395,0.705931024,NA,C15H28O3N2S,0,0,3,0,-3,86.9,314.8230823,0.176917731,-0.933333333,0.2,1.866666667,0.133333333,0,NA,Lipid,Lipid,Protein
449.1662289,1,0.9077806639880939,-0.42295137,Insignificant,449.1662289,32,22,1,2,0,0,0,0,CHNO,NA,450.1735589,0.648650076,NA,C32H22ON2,0.689655172,0.694915254,23,22,20,72.76875,448.6646859,0.335314124,-0.4375,0.03125,0.6875,0.0625,0,NA,Other,Cond Hydrocarbon,Other
371.1496505,1,0.9077780468825671,-0.423008179,Insignificant,371.1496505,21,24,6,0,0,0,0,0,CHO,NA,372.1569805,-0.971520451,NA,C21H24O6,0.266666667,0.388888889,10,4,4,76.58571429,370.7352215,0.264778515,-0.571428571,0.285714286,1.142857143,0,0,NA,Lignin,Lignin,Other
559.2032452,1,0.9077693854181127,-0.423191751,Insignificant,559.2032452,25,36,14,0,0,0,0,0,CHO,NA,560.2105752,0.028181643,NA,C25H36O14,0,0.055555556,8,-6,-6,69.42,558.5788339,0.421166139,-0.32,0.56,1.44,0,0,NA,Lignin;Amino Sugar,Lignin,Other
403.1090034,1,0.9077501631373199,-0.42358983,Insignificant,403.1090034,26,16,3,2,0,0,0,0,CHNO,NA,404.1163334,0.463927743,NA,C26H16O3N2,0.714285714,0.733333333,20,17,15,64.68461538,402.6588883,0.341111714,-0.153846154,0.115384615,0.615384615,0.076923077,0,NA,Other,Cond Hydrocarbon,Other
481.1924118,1,0.9077464373458544,-0.392125518,Insignificant,481.1924118,33,26,2,2,0,0,0,0,CHNO,NA,482.1997418,0.539522968,NA,C33H26O2N2,0.620689655,0.633333333,22,20,18,74.11818182,480.6551081,0.344891946,-0.484848485,0.060606061,0.787878788,0.060606061,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
451.1033049,1,0.9077381368165107,-0.423833326,Insignificant,451.1033049,24,20,9,0,0,0,0,0,CHO,NA,452.1106349,-0.333669954,NA,C24H20O9,0.4,0.538461538,15,6,6,62.675,450.5995989,0.40040108,-0.083333333,0.375,0.833333333,0,0,NA,Lignin,Lignin,Other
334.0644604,1,0.9077380017920206,-0.423836,Insignificant,334.0644604,13,20,6,0,0,1,1,0,CHOSP,NA,335.0717904,-0.249348421,NA,C13H20O6SP,0,0,4.5,-1.5,-3.5,84.41538462,333.691441,0.308558961,-0.846153846,0.461538462,1.538461538,0,0.076923077,0,Protein,Protein,Lipid
441.0461322,1,0.9077364064879878,-0.423866902,Insignificant,441.0461322,21,14,11,0,0,0,0,0,CHO,NA,442.0534622,-0.458453254,NA,C21H14O11,0.4,0.612903226,15,4,4,49.44285714,440.5536561,0.446343851,0.380952381,0.523809524,0.666666667,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
489.1974964,1,0.9077228460863052,-0.424124045,Insignificant,489.1974964,35,26,1,2,0,0,0,0,CHNO,NA,490.2048264,0.529207895,NA,C35H26ON2,0.65625,0.661538462,24,23,21,74.95714286,488.6512541,0.348745895,-0.514285714,0.028571429,0.742857143,0.057142857,0,NA,Other,Cond Hydrocarbon,Other
405.0095782,1,0.9077170846946175,-0.42423104699999997,Insignificant,405.0095782,17,10,12,0,0,0,0,0,CHO,NA,406.0169082,-0.914079444,NA,C17H10O12,0.2,0.636363636,13,1,1,36.82941176,404.5573409,0.442659113,0.823529412,0.705882353,0.588235294,0,0,NA,Other,Cond Hydrocarbon,Other
599.2710871,1,0.9077084986478469,-0.424387282,Insignificant,599.2710871,29,44,13,0,0,0,0,0,CHO,NA,600.2784171,0.286688102,NA,C29H44O13,0,0.066666667,8,-5,-5,77.98965517,598.6019357,0.398064349,-0.620689655,0.448275862,1.517241379,0,0,NA,Protein,Protein,Other
