Microbe,cluster,rho,pvalue,p_adj
20110800_P1S_2,Cluster2,0.36853071695045464,0.23849119459327084,0.8972423466415718
20110800_P1S_2,Cluster3,0.17137861409939506,0.594333596405789,0.8972423466415718
20110800_P1S_5,Cluster1,0.03873579327336775,0.9000195769036226,0.9370066828037714
20110800_P1S_5,Cluster2,0.07812353285007358,0.7997406568675629,0.8972423466415718
20110800_P1S_5,Cluster3,0.1543033499620919,0.6147373473434845,0.8972423466415718
20150700_P15_5,Cluster1,-0.05600474413220413,0.8309436582384686,0.9119381664422183
20150700_P15_5,Cluster2,-0.07495007287658148,0.7749620361211984,0.8972423466415718
20150700_P15_5,Cluster3,0.521749194749951,0.03170394002516819,0.8972423466415718
20150700_P15_11,Cluster1,0.1314744513966056,0.6837915233799761,0.8972423466415718
20150700_P15_11,Cluster2,-0.13217440905703415,0.6821856223045106,0.8972423466415718
20150700_P15_11,Cluster3,0.21835657337057335,0.4953667595162976,0.8972423466415718
20120600_P3M_9,Cluster1,0.07668765422128322,0.7698754908307124,0.8972423466415718
20120600_P3M_9,Cluster2,-0.15394442100434919,0.5552467173349172,0.8972423466415718
20120600_P3M_9,Cluster3,0.2551551815399144,0.3229629749145513,0.8972423466415718
20120700_P3D_40,Cluster1,-0.2345898718478367,0.34876084238674254,0.8972423466415718
20120700_P3D_40,Cluster2,0.35225116373539656,0.1516814543713374,0.8972423466415718
20120700_P3D_40,Cluster3,-0.16361870293156425,0.5165101208418834,0.8972423466415718
20110700_P3S_5,Cluster1,-0.40900082251351055,0.10307339240749114,0.8972423466415718
20110700_P3S_5,Cluster2,0.20525922800579893,0.42934519336151666,0.8972423466415718
20110700_P3S_5,Cluster3,0.408248290463863,0.10377091535383598,0.8972423466415718
20160700_P15_19,Cluster1,0.044058136352344714,0.8918558096772786,0.9326850042295479
20160700_P15_19,Cluster2,0.13217440905703415,0.6821856223045106,0.8972423466415718
20160700_P15_19,Cluster3,0.131013944022344,0.6848487144273756,0.8972423466415718
20110700_P3M_9,Cluster1,0.09776989686188928,0.7089201399929801,0.8972423466415718
20110700_P3M_9,Cluster2,-0.1717321911496956,0.5098570343034385,0.8972423466415718
20110700_P3M_9,Cluster3,-0.02439750182371333,0.925947755022146,0.9502275312616071
20160700_P15_3,Cluster1,-0.12369833610889293,0.5931993086415992,0.8972423466415718
20160700_P15_3,Cluster2,-0.2560274168855691,0.26261928139014,0.8972423466415718
20160700_P15_3,Cluster3,0.06493506493506493,0.7797509033508971,0.8972423466415718
20120700_P2M_5,Cluster1,-0.050621394935898914,0.8470043322114007,0.9139891725814997
20120700_P2M_5,Cluster2,0.10297337294350362,0.694113481602376,0.8972423466415718
20120700_P2M_5,Cluster3,-0.1643852569690701,0.5283911902950533,0.8972423466415718
20170700_P33_1,Cluster1,0.22750947975915572,0.4769973436230437,0.8972423466415718
20170700_P33_1,Cluster2,0.06534877683210266,0.8400929290899073,0.9139891725814997
20170700_P33_1,Cluster3,0.06477502756312957,0.8414811337938279,0.9139891725814997
